10016,0.0,0.0,0.0,0.0,0.0027,0.0,0.0092,0.0108,0.0337,0.0,0.0007,0.0234,0.0,0.0049,0.0,0.0255,0.0,0.0113,0.0043,0.0,0.0,0.0545,0.0,0.0,0.0214,0.0,0.0109,0.0,0.0,0.0,0.0,0.0018,0.0025,0.0,0.0137,0.0141,0.0,0.0,0.011000000000000001,0.016,0.0,0.0,0.0,0.0,0.0156,0.0113,0.0071,0.0125,0.0,0.0,0.0516,0.0,0.0,0.0134,0.0002,0.0158,0.0,0.0,0.0,0.0,0.0193,1.0,0.0063,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0,0.0248,0.0,0.0,0.0,0.0,0.0,0.0382,0.0,0.0,0.0,0.0,0.0,0.0,0.0288,0.0,0.0826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111,0.0362,0.0,0.0,0.0239,0.0039,0.0,0.0387,0.0042,0.0,0.0,0.0033,0.0,0.0511,0.0,0.0,0.0,0.0455,0.0,0.0,0.0067,0.0322,0.0518,0.0816,0.0158,0.0072,0.0445,0.0735,0.0,0.0389,0.0,0.0,0.0123,0.0,0.0,0.1425,0.0348,0.0,0.0636,0.0533,0.0083,0.0,0.0442,0.0,0.0,0.0,0.0485,0.0,0.0195,0.027000000000000003,0.0,0.0,0.0,0.1642,0.0525,0.0,0.0352,0.0816,0.0126,0.0423,0.0149,0.0,0.0063,1.0,0.0,0.0489,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0164,0.0637,0.0181,0.0,0.0,0.0084,0.0047,0.0807,0.0,0.0132,0.0221,0.0125,0.0068,0.0537,0.0533,0.0028,0.0,0.0335,0.0,0.0558,0.0088,0.0,0.1107,0.0534,0.0,0.004
2574,0.0,0.0023,0.0,0.009000000000000001,0.0,0.0,0.0,0.0048,0.0,0.0653,0.0094,0.0,0.0,0.0,0.0062,0.0,0.0,0.0116,0.0813,0.0,0.0,0.0142,0.0,0.0,0.0,0.0,0.0155,0.0,0.0139,0.0,0.0395,0.0,0.0,0.0,0.0,0.0,0.0382,0.013999999999999999,0.0,0.0,0.013000000000000001,0.0,0.0305,0.0,0.1014,0.0,0.0,0.0275,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,1.0,0.0,0.0267,0.0,0.0265,0.0,0.0,0.0465,0.027999999999999997,0.0107,0.0229,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0377,0.0,0.0,0.0,0.0,0.0,0.0657,0.0045,0.013999999999999999,0.0,0.0,0.0,0.0281,0.0031
6066,0.0,0.0,0.0461,0.0335,0.0,0.0419,0.0,0.0,0.0057,0.0,0.0205,0.0,0.0226,0.0,0.0056,0.0194,0.0,0.012,0.0,0.0,0.0,0.0104,0.0018,0.057999999999999996,0.0044,0.0648,0.0,0.0,0.0076,0.0,0.0117,0.009000000000000001,0.0233,0.0,0.0136,0.0,0.0,0.0,0.0028,0.0012,0.0127,0.0,0.0,0.0,0.0,0.1067,0.0261,0.0,0.0861,0.0,0.0407,0.0,0.0,0.0,0.0,0.0219,0.0,0.0085,0.0817,0.0,0.0333,0.0059,0.0489,0.0,1.0,0.0051,0.0177,0.0,0.0556,0.0,0.0,0.0,0.0507,0.0,0.0031,0.0425,0.0065,0.0117,0.1468,0.0085,0.0,0.0,0.0205,0.0,0.0,0.0,0.0865,0.0187,0.0,0.0437,0.0,0.0164,0.0012,0.0039,0.0946,0.0,0.0,0.0402,0.0
1440,0.0123,0.0246,0.017,0.0,0.0328,0.0694,0.0,0.0,0.1899,0.1164,0.0,0.0,0.0,0.1762,0.1396,0.0,0.0,0.0079,0.0443,0.2387,0.0,0.0,0.0088,0.0373,0.0,0.0572,0.0,0.0204,0.0354,0.0091,0.0209,0.0,0.0,0.0,0.0,0.0193,0.1262,0.0062,0.0526,0.0362,0.1809,0.0,0.1731,0.0,0.0742,0.0,0.0359,0.0,0.0,0.1223,0.0175,0.1197,0.0,0.0061,0.0415,0.031,0.0,0.0328,0.0479,0.0,0.0,0.0,0.0,0.0267,0.0051,1.0,0.0091,0.0,0.0156,0.1123,0.0603,0.0,0.0,0.0244,0.0297,0.0,0.0498,0.0302,0.0016,0.01,0.0131,0.008,0.0119,0.0,0.0386,0.1535,0.0,0.0007,0.0,0.0192,0.0094,0.0,0.0246,0.0493,0.0,0.0,0.0113,0.168,0.0
12635,0.0005,0.0457,0.0332,0.0,0.003,0.0216,0.0,0.0,0.0,0.0241,0.0379,0.0,0.0,0.0,0.0061,0.0,0.0,0.0276,0.0,0.0027,0.0,0.0,0.0,0.0593,0.0,0.0593,0.0,0.0672,0.0,0.0,0.0,0.0,0.0189,0.0,0.0101,0.0,0.0,0.0112,0.003,0.0,0.0074,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0427,0.0,0.0,0.0022,0.0,0.0332,0.0,0.0,0.0788,0.0522,0.0699,0.0,0.0,0.0,0.0,0.0177,0.0091,1.0,0.0,0.0269,0.0,0.0596,0.0,0.0,0.0,0.0111,0.0,0.0355,0.0476,0.0,0.0,0.0,0.0496,0.0997,0.0,0.0976,0.0,0.0378,0.0,0.0028,0.0,0.0,0.0,0.0047,0.0325,0.004,0.0,0.0,0.0238,0.0
8253,0.0,0.0071,0.0,0.0,0.0,0.0,0.0,0.0316,0.0044,0.0387,0.0,0.0013,0.0046,0.0316,0.0125,0.0,0.0,0.0148,0.0,0.0,0.0,0.0403,0.0,0.0,0.0213,0.0,0.0041,0.0292,0.0,0.0,0.0,0.0119,0.0,0.0009,0.0137,0.0826,0.0,0.0078,0.0613,0.0,0.0,0.0,0.0,0.0,0.0304,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,0.0,0.0238,0.0,0.0,0.0412,0.0087,0.0017,0.0,0.0,0.0265,0.0,0.0,0.0,1.0,0.0,0.0,0.0108,0.0578,0.0,0.0338,0.0243,0.0066,0.0,0.0,0.0075,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0078,0.0167,0.0,0.0,0.0255,0.0,0.0,0.0,0.0042,0.0,0.0
12726,0.0,0.0,0.0409,0.0,0.1959,0.1335,0.0067,0.0,0.0,0.0604,0.1798,0.0,0.018000000000000002,0.003,0.0,0.0,0.0,0.0,0.0,0.0464,0.0,0.0,0.0463,0.1247,0.0,0.14,0.0,0.0559,0.0,0.0539,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.0113,0.013000000000000001,0.0,0.0,0.0043,0.0032,0.0,0.0,0.0293,0.0,0.0116,0.1073,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0752,0.0335,0.0,0.0107,0.0,0.0041,0.0,0.0556,0.0156,0.0269,0.0,1.0,0.0,0.0406,0.0,0.0,0.0,0.0,0.0071,0.1795,0.1066,0.009000000000000001,0.0207,0.0,0.0,0.0497,0.0132,0.0654,0.0069,0.0405,0.0,0.0,0.0,0.002,0.0107,0.0,0.1345,0.0175,0.0004,0.0,0.0687,0.0
3413,0.0,0.0,0.0,0.0139,0.0,0.0,0.0414,0.0,0.1346,0.0521,0.0,0.0,0.0,0.1386,0.1481,0.0,0.0156,0.0,0.0193,0.1409,0.0,0.0209,0.0043,0.0355,0.0104,0.0,0.0,0.0264,0.0,0.0,0.0157,0.0,0.0067,0.0027,0.0,0.0,0.1394,0.0,0.0103,0.0,0.1445,0.0528,0.1244,0.0539,0.0628,0.0,0.0055,0.0,0.0,0.0223,0.0371,0.1084,0.0,0.0,0.0,0.0318,0.0,0.0552,0.0078,0.0,0.0121,0.0,0.0,0.0,0.0,0.1123,0.0,0.0,0.0,1.0,0.0045,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0328,0.0,0.0281,0.1665,0.0,0.0052,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0189,0.0013,0.075,0.0
4640,0.0,0.0223,0.0574,0.0,0.0197,0.0766,0.0,0.0,0.0518,0.028999999999999998,0.0,0.0,0.0,0.0061,0.017,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,0.0,0.0423,0.0,0.0,0.0,0.1942,0.0,0.0,0.0016,0.0015,0.0112,0.0,0.0,0.0017,0.0526,0.0,0.0,0.0174,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.0,0.0264,0.0,0.0,0.0,0.0,0.0,0.1265,0.0204,0.0,0.0,0.0,0.0,0.0465,0.0,0.0603,0.0596,0.0108,0.0406,0.0045,1.0,0.0238,0.0,0.0,0.0192,0.0,0.0817,0.1417,0.0,0.0,0.0,0.0146,0.0396,0.0165,0.0815,0.0301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462,0.0,0.0,0.0,0.0046,0.013000000000000001
7154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0,0.0394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.0,0.0578,0.0,0.0,0.0238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,0.0,0.0128,0.0,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5046,0.026000000000000002,0.0031,0.0,0.0,0.0,0.0,0.0,0.0078,0.0308,0.0126,0.0,0.0,0.0122,0.0035,0.0,0.135,0.0,0.0252,0.0,0.0059,0.0,0.012,0.0,0.0,0.0294,0.0302,0.0235,0.0,0.0213,0.0,0.0193,0.0,0.0179,0.0,0.0129,0.0104,0.0,0.0314,0.0539,0.0,0.006,0.0099,0.0,0.0,0.0368,0.015,0.0172,0.0,0.0152,0.0,0.0714,0.0,0.0272,0.0,0.0754,0.0962,0.0059,0.0,0.0681,0.0152,0.0392,0.0061,0.0,0.0107,0.0507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0398,0.0175,0.0,0.0,0.0231,0.0141,0.0404,0.0,0.0,0.0,0.0069,0.0175,0.0249,0.0133,0.0,0.0,0.0,0.203,0.0287,0.0136,0.017,0.0074,0.0,0.0091,0.0
5125,0.0,0.0,0.0,0.0282,0.0,0.0222,0.0,0.0305,0.0302,0.0322,0.0,0.0119,0.0,0.0065,0.0184,0.0033,0.0522,0.0769,0.0,0.0,0.0356,0.0262,0.0,0.0194,0.0458,0.0248,0.0073,0.0,0.0362,0.0181,0.0406,0.0,0.0488,0.0,0.0,0.0312,0.0427,0.0,0.0538,0.0115,0.0314,0.0,0.0148,0.0,0.0162,0.0,0.0,0.0,0.0,0.0,0.0148,0.0164,0.0,0.0213,0.0047,0.0023,0.0,0.0,0.0464,0.0012,0.0263,0.0,0.0164,0.0229,0.0,0.0244,0.0,0.0338,0.0,0.0012,0.0,0.0,0.0,1.0,0.0,0.0,0.0161,0.0,0.0,0.0006,0.0,0.0,0.0,0.0088,0.0124,0.0146,0.0,0.0325,0.0,0.0384,0.0,0.0,0.0237,0.0,0.0,0.0,0.024,0.0109,0.006999999999999999
1988,0.0332,0.0,0.0206,0.0471,0.0016,0.0,0.0189,0.0225,0.0545,0.0305,0.0,0.0,0.0283,0.0174,0.0462,0.0495,0.0455,0.0118,0.0257,0.0,0.0211,0.0228,0.0,0.0,0.0164,0.0105,0.0657,0.0,0.0135,0.0,0.0,0.0,0.0261,0.0193,0.0173,0.0295,0.0588,0.0109,0.0336,0.0031,0.0406,0.0,0.05,0.0,0.0962,0.0,0.0001,0.0,0.0355,0.0169,0.0364,0.0166,0.0399,0.0602,0.0,0.062,0.0,0.0,0.0323,0.0071,0.0175,0.0248,0.0637,0.0076,0.0031,0.0297,0.0111,0.0243,0.0,0.0,0.0192,0.0,0.0398,0.0,1.0,0.0018,0.015,0.0,0.0031,0.0075,0.0929,0.0255,0.0156,0.0,0.0198,0.0098,0.0133,0.0544,0.1059,0.0293,0.0969,0.0456,0.0446,0.0035,0.0,0.0,0.0142,0.0393,0.0134
6565,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0582,0.0,0.0,0.011000000000000001,0.0,0.0069,0.0,0.0,0.0,0.003,0.0,0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.006999999999999999,0.0,0.0072,0.0196,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.1568,0.0137,0.0003,0.1061,0.0,0.0357,0.0,0.0116,0.0,0.0,0.0032,0.0089,0.0,0.0381,0.0,0.0797,0.0,0.0181,0.0,0.0425,0.0,0.0,0.0066,0.0071,0.0,0.0,0.0,0.0175,0.0,0.0018,1.0,0.0,0.0,0.0811,0.0087,0.0095,0.0,0.0,0.0123,0.0,0.0,0.0109,0.0271,0.0,0.0203,0.0,0.0049,0.0118,0.0,0.0124,0.0278,0.0,0.0,0.0
14824,0.0,0.0,0.0551,0.0,0.1785,0.1663,0.0,0.0,0.0069,0.0312,0.1019,0.0,0.0,0.0073,0.0,0.0032,0.0,0.0117,0.0041,0.0194,0.0,0.0,0.0,0.1462,0.0,0.1197,0.0,0.0228,0.0,0.0028,0.0167,0.0,0.015,0.0,0.0,0.0,0.0,0.0121,0.0229,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.1464,0.0,0.0,0.0,0.0,0.0188,0.0,0.0,0.0865,0.0491,0.0,0.0,0.0,0.0,0.0,0.0065,0.0498,0.0355,0.0,0.1795,0.0,0.0817,0.0,0.0,0.0161,0.015,0.0,1.0,0.0616,0.0,0.0,0.0,0.0,0.0542,0.0,0.0251,0.0,0.0472,0.0,0.0,0.0,0.0093,0.0,0.0,0.0927,0.0,0.0,0.0,0.0209,0.0
17120,0.0,0.0,0.0824,0.0,0.0292,0.0545,0.0,0.0,0.0071,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0119,0.0,0.0378,0.0,0.0,0.0,0.0577,0.0,0.0,0.0,0.1991,0.0,0.0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.2297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1162,0.0358,0.0,0.0,0.0,0.0,0.0,0.0117,0.0302,0.0476,0.0,0.1066,0.0,0.1417,0.0,0.0,0.0,0.0,0.0,0.0616,1.0,0.0,0.0,0.0,0.0247,0.081,0.0091,0.0825,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0349,0.0
1161,0.0,0.0082,0.0,0.0,0.0,0.0275,0.0,0.0,0.0116,0.0,0.0,0.0,0.0767,0.0169,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.0161,0.0077,0.0122,0.0412,0.0,0.0,0.0049,0.0,0.0,0.0589,0.0,0.0499,0.012,0.0,0.0,0.0319,0.0053,0.0255,0.0079,0.0,0.0,0.0216,0.1119,0.0,0.0,0.0,0.0,0.0594,0.0,0.016,0.0,0.0,0.0132,0.0123,0.0032,0.023,0.0118,0.1109,0.0,0.0084,0.0,0.1468,0.0016,0.0,0.0075,0.009000000000000001,0.0003,0.0,0.0,0.0231,0.0,0.0031,0.0811,0.0,0.0,1.0,0.0104,0.008,0.0,0.005,0.0,0.0,0.0,0.0353,0.0285,0.0,0.0,0.0,0.002,0.0,0.0,0.1,0.0017,0.0185,0.009000000000000001,0.0162
5518,0.0155,0.0018,0.0,0.0033,0.0129,0.0275,0.0333,0.0,0.0,0.0,0.0,0.0393,0.0119,0.0,0.0,0.0128,0.0233,0.0,0.0,0.0196,0.051,0.0334,0.016,0.0291,0.0,0.0294,0.0012,0.0,0.0,0.09,0.0,0.0,0.0255,0.0,0.0107,0.0198,0.0,0.0413,0.017,0.0,0.0,0.0,0.0088,0.0,0.0,0.0218,0.0017,0.0,0.0473,0.0118,0.0045,0.0,0.0101,0.0418,0.0,0.0301,0.0048,0.0093,0.0262,0.0,0.0093,0.0,0.0047,0.0,0.0085,0.01,0.0,0.0,0.0207,0.0,0.0,0.0,0.0141,0.0006,0.0075,0.0087,0.0,0.0,0.0104,1.0,0.0,0.0,0.0039,0.0244,0.0,0.0139,0.0012,0.0403,0.0252,0.0,0.0253,0.0,0.0,0.0,0.0742,0.0,0.0008,0.0269,0.0
8247,0.0985,0.0,0.0,0.1049,0.0,0.0,0.0,0.1047,0.0,0.0061,0.0,0.0202,0.0594,0.036000000000000004,0.0,0.0516,0.0298,0.0187,0.0415,0.0226,0.0476,0.042,0.0,0.0,0.0767,0.0,0.1503,0.0,0.0281,0.0,0.0,0.0285,0.0,0.05,0.0714,0.0285,0.0,0.052000000000000005,0.0904,0.0622,0.0,0.0124,0.0,0.0,0.0382,0.0337,0.0,0.0,0.0312,0.0,0.0213,0.0064,0.1053,0.0562,0.0,0.0718,0.0,0.0,0.037000000000000005,0.0531,0.0303,0.0382,0.0807,0.0,0.0,0.0131,0.0,0.024,0.0,0.0,0.0,0.0,0.0404,0.0,0.0929,0.0095,0.0,0.0,0.008,0.0,1.0,0.0,0.0,0.0062,0.0049,0.0267,0.0,0.0567,0.0008,0.0474,0.0566,0.0244,0.0981,0.0,0.0,0.0026,0.0778,0.0,0.0329
8823,0.0,0.0,0.0256,0.0,0.0,0.0193,0.0,0.0,0.0016,0.0015,0.0,0.0,0.0,0.0223,0.0,0.0,0.0,0.0293,0.0,0.023,0.0006,0.0,0.0,0.0295,0.0,0.0372,0.0177,0.0482,0.0101,0.0368,0.0195,0.0,0.0137,0.0,0.0,0.0,0.0,0.0062,0.0,0.0,0.0324,0.0,0.0031,0.0001,0.0001,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0039,0.0,0.0,0.0,0.0242,0.0,0.0084,0.0,0.0,0.0,0.0,0.008,0.0496,0.0,0.0,0.0,0.0146,0.0,0.0,0.0,0.0255,0.0,0.0,0.0247,0.0,0.0,0.0,1.0,0.02,0.0,0.047,0.0006,0.0187,0.0084,0.0,0.0,0.0,0.0,0.0,0.0076,0.0,0.0,0.0,0.0202,0.0175
12138,0.0155,0.1526,0.1398,0.0,0.0247,0.0431,0.0081,0.0,0.0,0.0,0.0129,0.0,0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0105,0.0264,0.1183,0.0,0.1223,0.0,0.0819,0.0,0.0026,0.0048,0.0,0.0031,0.0,0.0,0.0,0.0,0.0366,0.0,0.0019,0.0128,0.0232,0.0,0.0156,0.0,0.0,0.0,0.0,0.0,0.1023,0.0,0.0,0.0135,0.0,0.0,0.0,0.0,0.2289,0.0332,0.0061,0.0,0.0,0.0132,0.004,0.0205,0.0119,0.0997,0.0,0.0497,0.0328,0.0396,0.0,0.0,0.0,0.0156,0.0,0.0542,0.081,0.005,0.0039,0.0,0.02,1.0,0.0,0.1655,0.0034,0.0023,0.0007,0.0,0.0,0.0366,0.0188,0.0085,0.0257,0.025,0.0,0.0,0.0262,0.0088
4423,0.0,0.0074,0.0023,0.0419,0.0,0.0383,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0459,0.0124,0.0054,0.0,0.0598,0.0192,0.0109,0.0,0.0041,0.0,0.0,0.0,0.0,0.0467,0.0,0.0,0.0457,0.0152,0.0,0.0026,0.0,0.0,0.0,0.0,0.0083,0.0,0.0,0.0,0.0511,0.0,0.0,0.002,0.0073,0.0,0.0,0.0,0.0281,0.0246,0.0,0.0145,0.0,0.0221,0.0,0.0,0.0,0.0,0.0,0.0132,0.0,0.0165,0.0132,0.0,0.0088,0.0,0.0123,0.0,0.0091,0.0,0.0244,0.0062,0.0,0.0,1.0,0.0206,0.0,0.0118,0.0,0.0,0.0,0.0,0.0,0.0181,0.0044,0.0046,0.0,0.0134,0.0028,0.0
8898,0.0124,0.0,0.1569,0.0,0.035,0.0311,0.0,0.0,0.0121,0.0184,0.0453,0.0,0.0013,0.0255,0.0184,0.0,0.0032,0.0,0.0155,0.0224,0.0019,0.0276,0.0067,0.0,0.0,0.128,0.0,0.1124,0.0093,0.0,0.0,0.0,0.0,0.0014,0.0366,0.0,0.0,0.0306,0.0176,0.017,0.0415,0.0,0.011000000000000001,0.0309,0.0,0.0,0.0,0.0,0.0,0.1486,0.0,0.0,0.0168,0.0,0.0,0.0,0.0,0.1963,0.0164,0.0488,0.0,0.0,0.0125,0.0,0.0,0.0386,0.0976,0.0,0.0654,0.0281,0.0815,0.0,0.0069,0.0124,0.0198,0.0,0.0251,0.0825,0.0,0.0,0.0049,0.047,0.1655,0.0206,1.0,0.0,0.0227,0.0034,0.0,0.0,0.0,0.013000000000000001,0.0,0.018000000000000002,0.0,0.0,0.0,0.0392,0.0122
8455,0.0,0.0,0.0,0.0069,0.0,0.0383,0.0,0.0,0.14800000000000002,0.0294,0.0,0.0,0.0323,0.1523,0.0992,0.0,0.0,0.0022,0.0379,0.1886,0.0,0.0,0.0,0.0,0.0061,0.0151,0.0,0.0,0.0136,0.0,0.0342,0.0,0.0,0.0,0.0,0.0,0.149,0.0,0.0831,0.0,0.1424,0.0289,0.0925,0.006,0.0796,0.0,0.0226,0.0,0.0,0.0294,0.0086,0.1386,0.0,0.0126,0.025,0.0045,0.0,0.0,0.0341,0.0,0.0161,0.0,0.0068,0.0377,0.0,0.1535,0.0,0.0,0.0069,0.1665,0.0301,0.0128,0.0175,0.0146,0.0098,0.0,0.0,0.0,0.0,0.0139,0.0267,0.0006,0.0034,0.0,0.0,1.0,0.0,0.002,0.0,0.025,0.0077,0.0172,0.0169,0.0086,0.0,0.0,0.0168,0.1263,0.048
12850,0.0373,0.0132,0.0,0.0209,0.0076,0.0179,0.0,0.0,0.0,0.0,0.0333,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0,0.0,0.0458,0.0094,0.0117,0.0588,0.0173,0.0,0.0041,0.0028,0.0574,0.0,0.0097,0.0,0.1148,0.0,0.0,0.0079,0.0186,0.0,0.0,0.0322,0.0,0.0,0.0,0.0617,0.0,0.0,0.0469,0.0,0.0095,0.0,0.0458,0.0,0.0,0.0,0.0205,0.0138,0.0184,0.0085,0.0555,0.0,0.0537,0.0,0.0865,0.0,0.0378,0.0,0.0405,0.0,0.0,0.0,0.0249,0.0,0.0133,0.0109,0.0472,0.0032,0.0353,0.0012,0.0,0.0187,0.0023,0.0118,0.0227,0.0,1.0,0.0059,0.0,0.0,0.0,0.0019,0.0,0.0619,0.0898,0.0566,0.0,0.0072,0.0
6649,0.0233,0.0,0.0,0.0525,0.0,0.0,0.0055,0.0168,0.0192,0.0178,0.0011,0.0239,0.0548,0.0595,0.0019,0.0014,0.0,0.0143,0.0,0.0,0.0407,0.0493,0.0,0.0207,0.0225,0.026000000000000002,0.0615,0.0,0.0107,0.0,0.0,0.0,0.0184,0.0088,0.0597,0.0375,0.0,0.0268,0.1045,0.0203,0.0,0.0,0.0386,0.0,0.0423,0.0609,0.0032,0.0,0.0132,0.0,0.0418,0.0,0.068,0.0124,0.0,0.0808,0.0106,0.0,0.0271,0.0057,0.0304,0.0288,0.0533,0.0,0.0187,0.0007,0.0,0.046,0.0,0.0052,0.0,0.0117,0.0133,0.0325,0.0544,0.0271,0.0,0.0,0.0285,0.0403,0.0567,0.0084,0.0007,0.0,0.0034,0.002,0.0059,1.0,0.0,0.1051,0.0401,0.0,0.0643,0.0,0.0,0.0,0.0486,0.005,0.04
8479,0.0,0.0,0.0,0.0117,0.0,0.0,0.1417,0.0,0.0,0.0,0.0,0.0237,0.0,0.0,0.0,0.0,0.0834,0.0,0.0,0.0,0.0126,0.0186,0.0154,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0214,0.0,0.0667,0.0089,0.0005,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0,0.0285,0.0,0.0,0.0286,0.0,0.0,0.0,0.0,0.0062,0.0335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0028,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.1059,0.0,0.0,0.0,0.0,0.0252,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.113,0.0,0.0,0.0,0.0,0.0068,0.0198,0.0,0.0
4321,0.0,0.0,0.0,0.0137,0.0,0.0,0.0,0.0309,0.0117,0.0,0.0,0.0372,0.0275,0.0332,0.0,0.0,0.0,0.0106,0.0,0.0,0.0,0.0309,0.0,0.0,0.0307,0.0,0.0009,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0964,0.004,0.0,0.0182,0.0377,0.0318,0.0,0.0011,0.0,0.0,0.0301,0.048,0.0,0.034,0.0,0.0877,0.0,0.0,0.0,0.0,0.0798,0.0247,0.0,0.0691,0.0,0.0,0.0826,0.0,0.0,0.0437,0.0192,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0384,0.0293,0.0203,0.0,0.0,0.0,0.0,0.0474,0.0,0.0,0.0,0.0,0.025,0.0,0.1051,0.0,1.0,0.0,0.0096,0.1138,0.0,0.0,0.0,0.0,0.0,0.0122
3144,0.0569,0.0,0.0,0.0301,0.0121,0.0,0.0193,0.0,0.0,0.0,0.0112,0.0273,0.0,0.0161,0.0,0.0,0.0709,0.0,0.0,0.0,0.0376,0.031,0.0315,0.0,0.0085,0.0289,0.017,0.0,0.0202,0.0,0.0,0.0264,0.0,0.0214,0.0864,0.0,0.0,0.1106,0.0745,0.0,0.0183,0.0299,0.0369,0.0,0.0133,0.0,0.0039,0.0,0.0057,0.0003,0.0,0.0,0.0645,0.0298,0.0,0.0164,0.0,0.0061,0.0,0.0694,0.0,0.0,0.0335,0.0,0.0,0.0094,0.0,0.0,0.002,0.0016,0.0,0.0,0.0,0.0,0.0969,0.0,0.0093,0.0,0.0,0.0253,0.0566,0.0,0.0366,0.0,0.0,0.0077,0.0,0.0401,0.113,0.0,1.0,0.0,0.0,0.0,0.0,0.0091,0.1249,0.0,0.0
7985,0.0027,0.0,0.018000000000000002,0.0,0.0,0.0259,0.0,0.0,0.0,0.012,0.0,0.0,0.0194,0.0,0.013999999999999999,0.0706,0.0,0.0,0.0168,0.0,0.0,0.0,0.0,0.0,0.0245,0.004,0.0257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.0141,0.0,0.0,0.0005,0.0051,0.0143,0.0,0.032,0.0,0.0088,0.0115,0.0,0.0203,0.0447,0.0,0.0,0.0002,0.0295,0.0568,0.0,0.0,0.0251,0.0,0.0471,0.0,0.0,0.0657,0.0164,0.0,0.0,0.0,0.0107,0.0,0.0,0.0,0.203,0.0,0.0456,0.0049,0.0,0.0,0.002,0.0,0.0244,0.0,0.0188,0.0,0.013000000000000001,0.0172,0.0019,0.0,0.0,0.0096,0.0,1.0,0.0,0.0201,0.0074,0.0108,0.0,0.0345,0.0117
