,13700,7065,2019,6435,1449,13341,6375,11228,4029,6335,2547,7875,3532,3439,8151,2285,5597,14225,7923,7366,11060,9778,8530,6742,7435,1447,1209,11687,10247,8551,9225,8762,2184,2086,4199,7974,6136,4839,5878,4093,7257,4383,4605,10867,6304,5439,3170,11399,5786,3735,1075,2220,3121,9882,10519,15414,4885,5047,4494,10453,10016,2111,2574,6066,1440,12635,8253,12726,3413,4640,7154,5046,5125,1988,6565,14824,17120,1161,5518,8247,8823,12138,4423,8898,8455,12850,6649,8479,4321,3144,7985,15267,27914,12141,1078,9850,11465,11506,7881
10453,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0693,0.0,0.0,0.0287,0.0,0.0,0.0,0.0,0.0007,0.0178,0.0,0.0,0.0411,0.0046,0.0101,0.0,0.0,0.0,0.0024,0.0,0.0583,0.0,0.0116,0.0,0.0023,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.1303,0.0059,0.0,0.0,0.0,0.08,0.0086,0.0,0.0,0.0,0.0473,0.0126,0.0,0.0559,0.0053,1.0,0.0473,0.0,0.0,0.0,0.0,0.0162,0.0,0.0,0.0,0.0,0.0,0.0899,0.0,0.0508,0.1193,0.0,0.0,0.1408,0.004,0.0391,0.0181,0.0,0.0,0.0,0.0084,0.0,0.0156,0.0,0.0,0.0,0.0,0.0195,0.0,0.0636,0.0078,0.0,0.0,0.0,0.0
10016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,0.0113,0.0112,0.0,0.0795,0.0,0.0026,0.0167,0.0071,0.0081,0.0,0.0367,0.0001,0.0,0.0226,0.0,0.0,0.0403,0.0,0.0497,0.0,0.0022,0.0,0.0016,0.0282,0.0187,0.0,0.0581,0.0207,0.0,0.0,0.0889,0.0188,0.0,0.022000000000000002,0.0,0.0259,0.0106,0.0,0.0,0.0041,0.0,0.0575,0.0,0.0125,0.0102,0.0,0.0125,0.0093,0.0,0.0419,0.0,0.0473,1.0,0.0128,0.0,0.0,0.0256,0.0104,0.0,0.0,0.0,0.0,0.0,0.0282,0.0207,0.0108,0.0189,0.0,0.0,0.0005,0.012,0.028999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0468,0.0,0.0708,0.0,0.0261,0.0134,0.0,0.0,0.0288,0.0,0.0114,0.0162,0.0331
2111,0.0448,0.0155,0.0534,0.001,0.0446,0.0468,0.0277,0.0307,0.0473,0.0,0.1007,0.0156,0.0535,0.0093,0.0383,0.0169,0.0218,0.0307,0.0,0.0781,0.0,0.0373,0.1074,0.0253,0.0425,0.11199999999999999,0.0565,0.0,0.0,0.0369,0.0065,0.0069,0.0,0.0742,0.0,0.0,0.0056,0.0,0.0,0.0639,0.1005,0.038,0.0,0.0,0.0231,0.1064,0.0295,0.0,0.0061,0.0456,0.048,0.0345,0.0168,0.040999999999999995,0.0131,0.0591,0.0,0.0413,0.0641,0.0,0.0128,1.0,0.0,0.0293,0.0532,0.0,0.0038,0.0538,0.0745,0.0,0.0,0.0192,0.0,0.0411,0.0005,0.0436,0.0817,0.0,0.0472,0.0488,0.0534,0.0411,0.0225,0.0652,0.0176,0.0241,0.0232,0.0868,0.0,0.0,0.0,0.042,0.0677,0.0334,0.0475,0.0134,0.1841,0.0202,0.0796
2574,0.0,0.0,0.0,0.0,0.0,0.0251,0.0,0.1016,0.0454,0.152,0.0,0.0,0.0016,0.0283,0.0571,0.0,0.0249,0.0208,0.261,0.0377,0.0,0.0,0.0,0.0,0.0,0.0,0.0163,0.0,0.019,0.0,0.0,0.0229,0.0359,0.0,0.0361,0.1887,0.0,0.0,0.0382,0.0451,0.0,0.0469,0.0366,0.2464,0.0,0.0142,0.0,0.0,0.0,0.0,0.0274,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0229,0.0203,0.0,0.0,0.0,1.0,0.0,0.0777,0.0002,0.0313,0.0,0.0324,0.0,0.0,0.0,0.0097,0.0203,0.0,0.0,0.0,0.0,0.0,0.0467,0.0144,0.0,0.0,0.0,0.0563,0.0,0.0,0.0,0.0054,0.0,0.0,0.0129,0.0,0.0,0.0,0.0332,0.0,0.0825,0.0
6066,0.0,0.001,0.0002,0.0,0.0136,0.013999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0247,0.0093,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0238,0.0097,0.0271,0.0,0.0026,0.0,0.0,0.1446,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.027999999999999997,0.0,0.0227,0.0,0.0408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0293,0.0,1.0,0.0,0.0,0.0,0.0281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0,0.0,0.0,0.0,0.016,0.0013,0.0517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232,0.016,0.0904,0.0,0.0
1440,0.0,0.0,0.0,0.0,0.0108,0.0362,0.0,0.0,0.1929,0.0665,0.0387,0.0,0.0,0.1369,0.155,0.0069,0.0301,0.0053,0.1155,0.2469,0.0,0.0,0.0305,0.0413,0.0291,0.0751,0.0,0.0184,0.0064,0.0,0.0,0.0,0.0258,0.0,0.0295,0.1183,0.0,0.0,0.0,0.2082,0.0127,0.1134,0.0,0.0902,0.0091,0.0688,0.0,0.0,0.0456,0.013000000000000001,0.0619,0.0,0.0,0.0676,0.0,0.0,0.0,0.0475,0.0347,0.0,0.0256,0.0532,0.0777,0.0,1.0,0.0062,0.0261,0.0186,0.1662,0.0,0.0,0.0,0.0,0.0114,0.0,0.0359,0.0,0.0225,0.0,0.1103,0.0541,0.0155,0.0,0.0235,0.1589,0.0,0.0065,0.0475,0.0317,0.0,0.0,0.0216,0.0381,0.0,0.0,0.1715,0.0499,0.1112,0.0
12635,0.0,0.0193,0.0558,0.0035,0.0577,0.0006,0.0,0.0,0.0,0.0112,0.048,0.0198,0.0119,0.0,0.0026,0.0029,0.0,0.0,0.0,0.0098,0.0192,0.0,0.0142,0.0936,0.0,0.0963,0.0,0.1072,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0234,0.0,0.0,0.0,0.0,0.0532,0.0,0.0,0.0583,0.1084,0.035,0.0124,0.0,0.0,0.019,0.02,0.0,0.0888,0.0064,0.0157,0.0162,0.0104,0.0,0.0002,0.0,0.0062,1.0,0.0,0.0149,0.0,0.0767,0.0,0.0333,0.0,0.0,0.0205,0.0926,0.0053,0.0371,0.0073,0.0,0.0209,0.0424,0.0582,0.0502,0.0,0.0545,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0094,0.0142,0.0012,0.0128,0.0,0.0,0.0
8253,0.0,0.0,0.0824,0.0,0.0,0.0495,0.0033,0.0247,0.0183,0.0061,0.0,0.0,0.0095,0.0,0.052000000000000005,0.0,0.022000000000000002,0.0091,0.0255,0.0046,0.0,0.0529,0.0,0.0006,0.0271,0.0273,0.0277,0.0079,0.034,0.0048,0.0,0.0,0.0152,0.0,0.0621,0.0,0.0,0.0,0.0,0.0012,0.0,0.0185,0.0368,0.0496,0.0,0.0088,0.0,0.0108,0.0,0.0095,0.001,0.0,0.0104,0.0,0.0437,0.0,0.0,0.0422,0.0107,0.0,0.0,0.0038,0.0313,0.0,0.0261,0.0,1.0,0.0,0.0388,0.0,0.0,0.0015,0.0764,0.0074,0.0,0.0,0.0,0.0098,0.0,0.0303,0.0055,0.0072,0.0,0.0029,0.0,0.0,0.0486,0.0,0.0178,0.0,0.0,0.0222,0.0,0.0,0.0,0.0,0.0174,0.0125,0.0152
12726,0.0014,0.0,0.0,0.0,0.2096,0.1201,0.0,0.0232,0.0,0.004,0.1868,0.0,0.0,0.0,0.0217,0.0,0.0,0.0,0.0,0.0435,0.0,0.0,0.0668,0.2245,0.0,0.1157,0.0,0.1115,0.0,0.0,0.013000000000000001,0.0,0.0,0.0097,0.0,0.0,0.0189,0.0,0.0,0.0028,0.022000000000000002,0.0,0.0,0.0,0.0009,0.0502,0.0303,0.0074,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0113,0.0412,0.0,0.0,0.0538,0.0,0.0281,0.0186,0.0149,0.0,1.0,0.0316,0.1215,0.0,0.0,0.0,0.0042,0.0262,0.1869,0.01,0.0,0.0,0.0,0.0538,0.0544,0.0894,0.1189,0.0096,0.0343,0.0,0.0471,0.0,0.0,0.0,0.0028,0.0816,0.0055,0.0013,0.0316,0.0625,0.0,0.0154
3413,0.0,0.0,0.0,0.0,0.0262,0.0253,0.0,0.0,0.1835,0.0323,0.0216,0.0,0.0,0.1275,0.1208,0.0136,0.0308,0.0124,0.0807,0.2144,0.0,0.0,0.0219,0.0514,0.0,0.0547,0.0,0.0225,0.0,0.0,0.0073,0.0,0.0231,0.0,0.0,0.0966,0.0,0.0,0.0,0.1453,0.0092,0.0896,0.0452,0.0504,0.0,0.0592,0.0,0.0,0.0233,0.0161,0.0679,0.0,0.0,0.0634,0.0,0.0,0.0,0.0462,0.0074,0.0,0.0,0.0745,0.0324,0.0,0.1662,0.0,0.0388,0.0316,1.0,0.0113,0.0,0.0162,0.0,0.0092,0.0,0.0362,0.0062,0.0,0.0,0.0553,0.0516,0.0,0.0,0.0787,0.1821,0.0,0.011000000000000001,0.0199,0.0195,0.0,0.0,0.0,0.0102,0.0,0.0,0.1644,0.0265,0.0847,0.0
4640,0.0,0.0363,0.1144,0.0,0.0863,0.0406,0.0,0.0,0.0,0.0001,0.06,0.0,0.0,0.0,0.0197,0.0,0.0,0.0,0.0,0.0353,0.0,0.0,0.0234,0.1196,0.0,0.0,0.0,0.2736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0,0.2194,0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.1054,0.0016,0.0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0767,0.0,0.1215,0.0113,1.0,0.0,0.0,0.0,0.0,0.0,0.0596,0.0433,0.0,0.0,0.0,0.0492,0.0553,0.0708,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,0.0172,0.0,0.0
7154,0.01,0.0104,0.0,0.0206,0.0,0.0,0.0465,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0322,0.0,0.0,0.0,0.0535,0.0282,0.0097,0.0,0.0,0.0,0.0,0.0,0.0353,0.0465,0.0342,0.0293,0.0113,0.0208,0.0,0.0,0.0037,0.0,0.0074,0.0,0.0,0.0062,0.0,0.0,0.0,0.0,0.0365,0.0,0.0,0.0,0.0,0.0001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0421,0.0052,0.0493,0.0,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.0
5046,0.0329,0.0353,0.0,0.0,0.0,0.0025,0.0,0.0043,0.0384,0.0144,0.0126,0.0,0.040999999999999995,0.0,0.0067,0.1509,0.0225,0.0227,0.0372,0.0178,0.0196,0.0555,0.043,0.0045,0.0418,0.0258,0.0138,0.0,0.0,0.0167,0.0,0.0,0.0384,0.0074,0.0039,0.0,0.0459,0.0,0.0278,0.0354,0.0155,0.0041,0.0,0.0381,0.0443,0.0162,0.0,0.0495,0.0166,0.0745,0.0,0.0004,0.0,0.0318,0.1118,0.0,0.0,0.1045,0.0403,0.0899,0.0282,0.0192,0.0,0.0,0.0,0.0333,0.0015,0.0,0.0162,0.0,0.0,1.0,0.0257,0.0526,0.0539,0.0147,0.0,0.023,0.0001,0.0209,0.0027,0.0,0.0,0.004,0.0172,0.0487,0.0431,0.0074,0.0273,0.0,0.0515,0.0288,0.0207,0.0555,0.0127,0.0161,0.0,0.0045,0.0219
5125,0.002,0.0,0.0,0.0126,0.0,0.0596,0.0137,0.0,0.006,0.0,0.0,0.001,0.0,0.0,0.0,0.0161,0.0356,0.019,0.03,0.0,0.0114,0.0924,0.0,0.0,0.018000000000000002,0.0,0.0007,0.0,0.0549,0.0366,0.0253,0.0,0.0665,0.0,0.0239,0.0,0.0,0.0,0.0366,0.0012,0.0,0.0301,0.0,0.0261,0.0,0.0,0.0,0.0,0.0129,0.0,0.0,0.0042,0.0277,0.0104,0.028999999999999998,0.0047,0.0,0.0502,0.0,0.0,0.0207,0.0,0.0097,0.0,0.0,0.0,0.0764,0.0,0.0,0.0,0.0,0.0257,1.0,0.0,0.0,0.0095,0.0,0.0,0.0016,0.0339,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.003,0.0,0.0,0.0106,0.0,0.0,0.0,0.0204,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0303,0.0,0.009000000000000001,0.0315,0.0241,0.0151,0.0108,0.0138,0.0,0.008,0.0531,0.0256,0.0369,0.0163,0.0,0.0068,0.0189,0.0,0.0,0.016,0.013000000000000001,0.0333,0.0,0.0,0.0,0.0,0.0109,0.0168,0.0,0.0175,0.0,0.0,0.0,0.0023,0.0089,0.0,0.0043,0.0,0.0252,0.0108,0.0081,0.0,0.0,0.0,0.0131,0.0,0.0,0.0178,0.0,0.0503,0.0047,0.0,0.0079,0.0,0.0508,0.0108,0.0411,0.0203,0.0,0.0114,0.0,0.0074,0.0042,0.0092,0.0,0.0053,0.0526,0.0,1.0,0.022000000000000002,0.0279,0.0002,0.0163,0.0004,0.0617,0.0464,0.0,0.0,0.0413,0.0098,0.0076,0.0575,0.034,0.0272,0.0306,0.0121,0.0214,0.0,0.0,0.0,0.0,0.038,0.0,0.0042
6565,0.0279,0.0173,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0021,0.0,0.0,0.0852,0.0,0.0031,0.0145,0.0,0.0133,0.0,0.0044,0.016,0.0,0.0,0.0256,0.037000000000000005,0.0246,0.0474,0.0,0.0,0.0001,0.0,0.0,0.0327,0.0,0.0097,0.0,0.0191,0.0,0.0178,0.0,0.0,0.0,0.0,0.0,0.2368,0.0258,0.0,0.0435,0.0,0.0706,0.0,0.0234,0.0,0.0007,0.0054,0.0,0.0,0.0249,0.0229,0.1193,0.0189,0.0005,0.0,0.0,0.0,0.0205,0.0,0.0262,0.0,0.0,0.0,0.0539,0.0,0.022000000000000002,1.0,0.0,0.0,0.0897,0.0003,0.0107,0.0019,0.0,0.0,0.0,0.0,0.0044,0.0064,0.0112,0.0606,0.0,0.0,0.0408,0.0,0.0403,0.0,0.0,0.0,0.0,0.0069
14824,0.0,0.0,0.0164,0.0,0.13699999999999998,0.1702,0.0,0.0374,0.0575,0.0,0.1639,0.0033,0.0,0.0,0.0407,0.0,0.0,0.0249,0.0556,0.0464,0.0,0.0,0.0274,0.1782,0.0,0.1068,0.0,0.0761,0.0,0.0141,0.0062,0.0,0.0,0.0049,0.0,0.0,0.03,0.0,0.0,0.0429,0.0034,0.0333,0.0,0.0,0.0117,0.0297,0.0,0.0,0.1301,0.0086,0.0,0.0,0.0,0.0405,0.0,0.0,0.0225,0.0246,0.0527,0.0,0.0,0.0436,0.0,0.0085,0.0359,0.0926,0.0,0.1869,0.0362,0.0596,0.0,0.0147,0.0095,0.0279,0.0,1.0,0.0348,0.005,0.0023,0.0047,0.1002,0.0724,0.065,0.12,0.0096,0.0332,0.0,0.0033,0.0,0.0,0.0,0.0,0.1102,0.0,0.0,0.0053,0.0514,0.0016,0.0
17120,0.0,0.0,0.0959,0.0,0.0183,0.0261,0.0,0.0149,0.0,0.0,0.0274,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0267,0.0,0.0,0.0137,0.0837,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0292,0.0,0.0071,0.0,0.0,0.0,0.0,0.0099,0.0,0.0,0.0,0.0,0.0,0.0483,0.0,0.0234,0.0,0.0305,0.0115,0.0,0.0,0.0516,0.003,0.0,0.0,0.0,0.0817,0.0,0.0,0.0,0.0053,0.0,0.01,0.0062,0.0433,0.0,0.0,0.0,0.0002,0.0,0.0348,1.0,0.0,0.0,0.0,0.051,0.0603,0.0092,0.0573,0.0181,0.0,0.0,0.0352,0.0,0.0,0.0,0.0015,0.0158,0.0,0.0,0.0,0.0255,0.0168,0.0068
1161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0004,0.0,0.0512,0.0,0.0354,0.0213,0.0,0.0,0.0,0.0085,0.002,0.0028,0.0177,0.0,0.0131,0.0744,0.0247,0.0139,0.0,0.0351,0.0,0.0,0.0676,0.0152,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,0.1216,0.0286,0.0,0.0,0.0,0.0405,0.0,0.0005,0.0,0.0287,0.0027,0.0,0.0003,0.0136,0.005,0.1408,0.0005,0.0,0.0,0.0,0.0225,0.0371,0.0098,0.0,0.0,0.0,0.0,0.023,0.0,0.0163,0.0897,0.005,0.0,1.0,0.0008,0.0,0.0249,0.0232,0.0253,0.0,0.006999999999999999,0.027999999999999997,0.0181,0.0101,0.0292,0.0,0.001,0.0008,0.0,0.1161,0.0,0.0,0.0079,0.0,0.0009
5518,0.0229,0.0,0.0,0.0265,0.0,0.0,0.0438,0.0,0.0,0.0081,0.0059,0.043,0.0,0.0,0.0,0.0107,0.0203,0.0051,0.0,0.0,0.0447,0.0316,0.0333,0.0,0.0006,0.0217,0.0033,0.0,0.0,0.0638,0.0,0.0231,0.0407,0.0,0.0082,0.0,0.0371,0.0,0.0109,0.0,0.0099,0.0,0.0,0.006999999999999999,0.0188,0.003,0.0123,0.0142,0.0,0.0016,0.0,0.0,0.0344,0.0,0.0,0.0,0.0,0.0097,0.0039,0.004,0.012,0.0472,0.0,0.0,0.0,0.0073,0.0,0.0,0.0,0.0,0.0298,0.0001,0.0016,0.0004,0.0003,0.0023,0.0,0.0008,1.0,0.002,0.0,0.0187,0.0172,0.0,0.0,0.0,0.0201,0.0159,0.0,0.0,0.0,0.0,0.0,0.0229,0.0043,0.0,0.0167,0.0,0.0
8247,0.0194,0.0,0.0,0.0335,0.0,0.0,0.0,0.0503,0.0639,0.0418,0.0,0.0095,0.0504,0.0472,0.0608,0.0568,0.0406,0.0,0.0345,0.0775,0.0,0.0356,0.0486,0.0,0.0681,0.0055,0.1,0.0,0.0,0.0,0.0423,0.0844,0.0141,0.0,0.0447,0.0274,0.0012,0.0,0.08900000000000001,0.055,0.0345,0.0,0.0,0.0971,0.0218,0.0622,0.0,0.0,0.0,0.0492,0.0041,0.0,0.0368,0.0139,0.0262,0.0,0.0,0.0396,0.0266,0.0391,0.028999999999999998,0.0488,0.0467,0.0,0.1103,0.0,0.0303,0.0,0.0553,0.0,0.0,0.0209,0.0339,0.0617,0.0107,0.0047,0.0,0.0,0.002,1.0,0.0135,0.0,0.0,0.0,0.0031,0.0,0.0241,0.0296,0.0423,0.0163,0.0,0.0584,0.0172,0.0,0.0005,0.0407,0.0428,0.053,0.0682
8823,0.0,0.0,0.0183,0.0,0.0309,0.0413,0.0,0.0654,0.0547,0.0142,0.0412,0.0,0.0,0.0124,0.0418,0.0,0.0,0.0195,0.0396,0.0722,0.0,0.0,0.0,0.0631,0.005,0.0474,0.0,0.0554,0.0,0.0128,0.0,0.0251,0.0,0.0,0.0,0.0246,0.0,0.0,0.0,0.0682,0.0,0.0227,0.02,0.0391,0.02,0.0558,0.0,0.0,0.0309,0.0248,0.0,0.0,0.0,0.0421,0.0289,0.0,0.0293,0.0089,0.047,0.0181,0.0,0.0534,0.0144,0.0,0.0541,0.0209,0.0055,0.0538,0.0516,0.0492,0.0,0.0027,0.0,0.0464,0.0019,0.1002,0.051,0.0249,0.0,0.0135,1.0,0.0,0.0483,0.0514,0.0786,0.0,0.0115,0.0191,0.0,0.0,0.0,0.0,0.0586,0.0,0.0,0.0229,0.0988,0.0517,0.0208
12138,0.0241,0.0809,0.1028,0.0,0.0627,0.0167,0.0117,0.006,0.0202,0.0,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0183,0.0432,0.0684,0.11199999999999999,0.0,0.0569,0.0,0.0748,0.0,0.0146,0.0,0.0,0.0,0.0083,0.0,0.0,0.0195,0.0,0.0,0.0,0.023,0.0,0.0056,0.0,0.0247,0.0003,0.0,0.0,0.0888,0.0046,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,0.0773,0.0311,0.0124,0.0,0.0,0.0411,0.0,0.016,0.0155,0.0424,0.0072,0.0544,0.0,0.0553,0.0,0.0,0.0,0.0,0.0,0.0724,0.0603,0.0232,0.0187,0.0,0.0,1.0,0.0432,0.1124,0.0026,0.0,0.0,0.0246,0.01,0.0,0.0,0.0139,0.033,0.0,0.0,0.0138,0.0311,0.0,0.0
4423,0.0,0.0655,0.0079,0.0,0.0426,0.0253,0.0,0.0,0.0,0.0094,0.0849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285,0.0315,0.0792,0.0107,0.1215,0.0,0.0549,0.0035,0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0152,0.0,0.0729,0.0059,0.0,0.0,0.0,0.0069,0.0229,0.0,0.0417,0.0133,0.0,0.0,0.0,0.0225,0.0,0.0013,0.0,0.0582,0.0,0.0894,0.0,0.0708,0.0,0.0,0.0,0.0,0.0,0.065,0.0092,0.0253,0.0172,0.0,0.0483,0.0432,1.0,0.0761,0.0,0.0223,0.0,0.0554,0.0,0.0331,0.0,0.0,0.0105,0.033,0.0,0.0,0.0353,0.0,0.0
8898,0.0,0.0,0.1322,0.0,0.092,0.0268,0.0088,0.0095,0.0273,0.0,0.0861,0.0,0.0,0.0224,0.026000000000000002,0.0,0.0,0.0,0.005,0.0417,0.0126,0.012,0.0118,0.0,0.0,0.1153,0.0132,0.11699999999999999,0.0,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0259,0.0,0.0,0.027000000000000003,0.0,0.0,0.027999999999999997,0.0,0.0,0.0167,0.0108,0.0,0.1135,0.0044,0.0081,0.0,0.0,0.0,0.0,0.0,0.1001,0.0419,0.0492,0.0,0.0,0.0652,0.0,0.0517,0.0235,0.0502,0.0029,0.1189,0.0787,0.095,0.0,0.004,0.0,0.0413,0.0,0.12,0.0573,0.0,0.0,0.0,0.0514,0.1124,0.0761,1.0,0.0036,0.0089,0.0,0.0125,0.0,0.0,0.0,0.0039,0.0,0.0166,0.0,0.0279,0.0835,0.0,0.0193
8455,0.0,0.0,0.0,0.0,0.0,0.0419,0.0167,0.0,0.166,0.0221,0.0,0.0,0.0113,0.1233,0.0891,0.0,0.0145,0.0,0.11900000000000001,0.1666,0.0117,0.0,0.0,0.0175,0.0,0.0039,0.0,0.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1864,0.0,0.0,0.0,0.1608,0.0,0.1078,0.0188,0.0455,0.0,0.0353,0.0,0.0,0.0271,0.0,0.0556,0.0,0.0,0.0168,0.0,0.0,0.0,0.0095,0.0,0.0084,0.0,0.0176,0.0563,0.0,0.1589,0.0,0.0,0.0096,0.1821,0.0,0.0,0.0172,0.0,0.0098,0.0,0.0096,0.0181,0.006999999999999999,0.0,0.0031,0.0786,0.0026,0.0,0.0036,1.0,0.0,0.0084,0.0176,0.0,0.0,0.0,0.0158,0.0,0.0,0.0,0.1301,0.0,0.0735,0.0335
12850,0.0,0.0133,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0128,0.0671,0.0152,0.011000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0405,0.004,0.0,0.0404,0.0,0.0,0.004,0.0,0.0,0.0,0.016,0.0435,0.0,0.0,0.0365,0.0,0.0,0.0068,0.0331,0.0,0.0,0.0,0.0132,0.0,0.0,0.0188,0.0,0.035,0.0091,0.0446,0.0,0.0,0.0106,0.0277,0.0,0.0213,0.002,0.0,0.0,0.0241,0.0,0.0,0.0,0.0545,0.0,0.0343,0.0,0.0,0.0,0.0487,0.0,0.0076,0.0044,0.0332,0.0,0.027999999999999997,0.0,0.0,0.0,0.0,0.0223,0.0089,0.0,1.0,0.0,0.0103,0.0,0.0,0.0,0.0,0.0794,0.0711,0.0363,0.0,0.0,0.0,0.0
6649,0.0077,0.0,0.0133,0.0018,0.0,0.0003,0.0027,0.0,0.0359,0.0,0.0,0.0335,0.0124,0.0126,0.0168,0.0023,0.0158,0.0296,0.0,0.0126,0.0643,0.0459,0.0,0.0,0.0184,0.0109,0.0053,0.0,0.0,0.0247,0.013999999999999999,0.018000000000000002,0.0514,0.0,0.0561,0.0,0.0,0.0,0.0251,0.023,0.0,0.0289,0.0,0.01,0.0302,0.01,0.0,0.0002,0.0,0.034,0.0,0.0,0.0,0.0045,0.0318,0.0,0.0189,0.0174,0.019,0.0156,0.0468,0.0232,0.0,0.0,0.0065,0.0,0.0486,0.0,0.011000000000000001,0.0,0.0,0.0431,0.0032,0.0575,0.0064,0.0,0.0,0.0181,0.0201,0.0241,0.0115,0.0,0.0,0.0,0.0084,0.0,1.0,0.0082,0.0924,0.0,0.0,0.0334,0.0,0.0059,0.0,0.0,0.0396,0.0,0.0704
8479,0.0,0.0325,0.0,0.0102,0.0176,0.0,0.0914,0.0356,0.0104,0.0244,0.0449,0.0509,0.0183,0.0198,0.0534,0.0,0.0651,0.0,0.0164,0.0409,0.0273,0.0205,0.032,0.0107,0.0,0.0697,0.0117,0.0,0.022000000000000002,0.0312,0.0,0.033,0.0095,0.0047,0.0061,0.0002,0.0451,0.0,0.0185,0.0102,0.016,0.0,0.0,0.03,0.013999999999999999,0.0999,0.0476,0.0,0.0039,0.0084,0.016,0.0,0.0277,0.025,0.0192,0.0,0.0,0.0133,0.0541,0.0,0.0,0.0868,0.0,0.0,0.0475,0.0,0.0,0.0471,0.0199,0.0,0.0421,0.0074,0.0,0.034,0.0112,0.0033,0.0352,0.0101,0.0159,0.0296,0.0191,0.0246,0.0554,0.0125,0.0176,0.0103,0.0082,1.0,0.0289,0.0553,0.0,0.004,0.0233,0.0085,0.0,0.0164,0.0862,0.0277,0.032
4321,0.0097,0.002,0.0,0.0143,0.0,0.0,0.01,0.0057,0.0246,0.0261,0.0,0.04,0.0469,0.0033,0.0443,0.0,0.0,0.0209,0.0345,0.0074,0.0,0.0365,0.0,0.0,0.0636,0.0,0.047,0.0,0.0188,0.0,0.0,0.0451,0.0591,0.0,0.0917,0.0145,0.0,0.0,0.0691,0.0295,0.0,0.0,0.0,0.027999999999999997,0.048,0.0048,0.0019,0.0435,0.0,0.1088,0.0,0.0413,0.0023,0.0039,0.061,0.02,0.0,0.0968,0.0106,0.0,0.0708,0.0,0.0054,0.0,0.0317,0.018000000000000002,0.0178,0.0,0.0195,0.0,0.0052,0.0273,0.003,0.0272,0.0606,0.0,0.0,0.0292,0.0,0.0423,0.0,0.01,0.0,0.0,0.0,0.0,0.0924,0.0289,1.0,0.023,0.0,0.1242,0.0,0.0165,0.0,0.0,0.0024,0.0298,0.0411
