,12141,12138,1722,12635,12850,3144,3413,13700,14225,3897,4199,17120,5046,5047,6066,6335,8479,8551,1602,9465,1690,11228,10499,5597,6435,8762,9850,2817,3170,4510,2403,2285,1078,7881,6104,8530,4321,6266,3532,8247,8455,7435,7257,3439,14824,11550,10519,8810,5439,7366,1440,8151,11465,4839,4058,3980,6375,2086,4093,1075,1209,11220,1230,4383,7085,4640,8030,8068,9225,9667,4885,4973,11506,7974,1678,2111,11456,6078,8358,5783,5786,10016,7154,11060,10407,1913,7065,3121,5125,6304,6565,27914,10867,6742,2019,3735,6730,10453,10247,4423,5518,6136,8823,3362,5878,1988,1449,7982,4605,9882,1447,6008,9778,8245,8253,6649,7875,1161,2220,10530,2574,11376,2547,7923,13341,4029,9783,11399,1487,8898,4213,12726,13510,15267,15414,16478,11687,2184,4494,11811
1230,0.0,0.0,0.0,0.0,0.0,0.0,0.0216,0.0,0.0087,0.0,0.0,0.0,0.0475,0.0396,0.0,0.0172,0.0009,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0271,0.0,0.0,0.0,0.0,0.0392,0.0,0.0711,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.0056,0.0424,0.0,0.0,0.0271,0.0073,0.0087,0.0151,0.0,0.0,0.0,0.0018,0.0332,0.0,0.0213,0.0,0.0158,0.0,0.0,0.0114,0.0109,0.0,0.0,1.0,0.0,0.0,0.0096,0.0,0.001,0.0,0.0038,0.0,0.009000000000000001,0.0446,0.0,0.04,0.0,0.0168,0.0109,0.0018,0.0728,0.0,0.0,0.0,0.0,0.0056,0.0,0.0089,0.0,0.0,0.0,0.0,0.0,0.0851,0.0,0.0,0.0008,0.0,0.0,0.0154,0.0099,0.0,0.0,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.2544,0.0081,0.0,0.0,0.0,0.0248,0.0022,0.0,0.0,0.0,0.0,0.0343,0.0,0.0,0.0189,0.0319,0.0115,0.0,0.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0153,0.016,0.0,0.0308,0.0
4383,0.0,0.0,0.0215,0.0,0.0,0.0,0.1115,0.0,0.0517,0.0766,0.0,0.008,0.0178,0.0055,0.0,0.0562,0.0,0.0,0.0,0.0041,0.0,0.0481,0.0,0.0,0.0027,0.0,0.091,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0,0.0097,0.0,0.0796,0.0,0.0,0.0995,0.0,0.1165,0.0153,0.0908,0.0271,0.1248,0.1185,0.1594,0.0,0.0304,0.0,0.0013,0.0,0.0,0.1341,0.1051,0.0168,0.027999999999999997,0.0,1.0,0.0036,0.0219,0.0347,0.0537,0.0395,0.0024,0.0,0.0,0.1104,0.1417,0.0435,0.0,0.0,0.0,0.0139,0.0338,0.0461,0.0,0.0,0.0,0.0,0.0,0.0174,0.0,0.0551,0.0,0.0,0.0327,0.0,0.0,0.0019,0.0248,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0057,0.0007,0.0073,0.0072,0.0253,0.0358,0.0,0.0,0.0,0.0,0.0,0.0075,0.0043,0.0,0.0,0.0075,0.0617,0.0,0.0,0.053,0.0514,0.1346,0.0,0.0,0.0,0.0,0.0,0.0,0.0284,0.0147,0.0,0.0693,0.0239,0.0284,0.0,0.0
7085,0.0,0.0,0.0,0.0,0.0,0.0117,0.0212,0.0184,0.0204,0.0,0.0484,0.0,0.0054,0.0497,0.0,0.0,0.0393,0.0328,0.0,0.0065,0.0,0.0,0.0,0.01,0.0182,0.0202,0.0,0.0,0.0044,0.0,0.0,0.0065,0.0,0.0,0.0005,0.0,0.0668,0.0143,0.0,0.0568,0.0,0.0491,0.0,0.0,0.0,0.0283,0.0643,0.0,0.0104,0.0,0.0023,0.0,0.0104,0.0338,0.038,0.0017,0.021,0.0348,0.0,0.0087,0.0315,0.0,0.0,0.0036,1.0,0.0034,0.0,0.0,0.0388,0.0434,0.0,0.0,0.0,0.0,0.0,0.0471,0.0,0.0216,0.0368,0.0,0.0057,0.0285,0.0,0.047,0.0363,0.0969,0.0,0.0605,0.0222,0.0,0.0,0.0,0.0,0.0,0.0223,0.06,0.0,0.0,0.0,0.0121,0.011000000000000001,0.0321,0.0,0.0,0.0014,0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0382,0.0,0.0385,0.0788,0.0528,0.0,0.0386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.0255,0.0,0.0223,0.0249,0.0,0.0,0.0,0.013000000000000001,0.0185,0.0
4640,0.0,0.0655,0.0195,0.0767,0.0,0.0028,0.0049,0.0,0.0,0.0244,0.0,0.1889,0.0061,0.0239,0.0273,0.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0281,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0231,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0865,0.1241,0.0086,0.0018,0.0269,0.0,0.0443,0.0798,0.0316,0.0,0.0163,0.0,0.0,0.0,0.0,0.0,0.0041,0.0284,0.0877,0.0096,0.0219,0.0034,1.0,0.0,0.0015,0.0237,0.0,0.09,0.0464,0.0207,0.0364,0.0,0.0,0.0011,0.0,0.0,0.0,0.2828,0.0,0.0,0.0,0.0,0.0066,0.0081,0.0,0.0,0.0,0.0,0.0561,0.0157,0.0495,0.1733,0.0,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.0408,0.0,0.0036,0.0,0.0775,0.22399999999999998,0.0258,0.0,0.1179,0.0,0.0,0.2786,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.1157,0.0498,0.0726,0.0205,0.2578,0.0,0.1035,0.1057,0.0095,0.0746,0.0706,0.0048,0.0,0.0179,0.2475,0.0003,0.0111,0.0745
8030,0.0,0.0,0.0,0.0,0.0,0.0,0.0691,0.0,0.0236,0.0312,0.0142,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383,0.0,0.0,0.0077,0.0,0.0,0.0283,0.0,0.0148,0.0,0.0103,0.0,0.0042,0.0,0.0,0.0802,0.0,0.0353,0.0,0.0202,0.0224,0.0002,0.0032,0.0,0.0283,0.0143,0.0,0.0259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416,0.0,0.0,0.0,0.0347,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392,0.0,0.0,0.0137,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272,0.0199,0.0,0.0,0.0122,0.0,0.0,0.0,0.0194,0.0,0.0313,0.0311,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0565,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.0,0.0,0.0,0.0,0.0,0.0
8068,0.0,0.0074,0.0351,0.0,0.0,0.0274,0.0,0.0047,0.0393,0.0079,0.0182,0.0,0.0281,0.0466,0.0,0.0432,0.0224,0.0043,0.0,0.0024,0.0,0.1466,0.0,0.0,0.0607,0.0,0.0539,0.0,0.0023,0.0297,0.0,0.0049,0.0043,0.0798,0.0586,0.0,0.0366,0.0,0.0157,0.1435,0.0474,0.0254,0.0,0.0743,0.0,0.023,0.0066,0.0531,0.0335,0.0661,0.0583,0.0639,0.0421,0.0346,0.0302,0.0226,0.0,0.0173,0.1096,0.0,0.1119,0.0122,0.001,0.0537,0.0,0.0015,0.0,1.0,0.0,0.015,0.0,0.0042,0.1228,0.0669,0.1181,0.0224,0.0782,0.038,0.0525,0.0175,0.0142,0.0,0.0,0.0017,0.0,0.0513,0.0,0.0555,0.0233,0.0,0.0,0.0,0.0164,0.0,0.0144,0.0283,0.0,0.0107,0.0135,0.0,0.0096,0.0297,0.0,0.0,0.0,0.0614,0.0,0.0153,0.0055,0.0215,0.0159,0.0,0.0,0.019,0.0,0.0248,0.0371,0.0,0.0227,0.0257,0.0383,0.0,0.0,0.0389,0.0084,0.0726,0.0,0.0,0.0265,0.0239,0.0271,0.0,0.0,0.031,0.0,0.0806,0.0,0.0149,0.0271,0.0
9225,0.0,0.0,0.0262,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0134,0.0,0.0012,0.0,0.0704,0.0,0.0,0.0705,0.0352,0.0,0.0152,0.0,0.0,0.0228,0.0,0.0075,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0373,0.0015,0.0,0.0,0.0,0.0142,0.0,0.0395,0.0388,0.0237,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0674,0.0269,0.0,0.0082,0.0062,0.0613,0.0202,0.0,0.0079,0.0,0.0106,0.0253,0.0,0.0207,0.0,0.005,0.0,0.0,0.0126,0.0,0.0,0.0306,0.0278,0.0,0.0054,0.0,0.0068,0.0,0.0,0.0,0.0025,0.0,0.0127,0.0,0.0,0.0072,0.0149,0.0235,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0442,0.0,0.0,0.0,0.0,0.002,0.0253,0.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0
9667,0.0079,0.0,0.0,0.0,0.0111,0.0158,0.0,0.0137,0.0,0.0143,0.0098,0.0,0.0098,0.0257,0.0427,0.0113,0.0159,0.0319,0.0067,0.0,0.0068,0.0,0.0301,0.0,0.0261,0.0143,0.0265,0.0058,0.0,0.0538,0.0,0.0127,0.0,0.042,0.0088,0.0561,0.0,0.0,0.0,0.0374,0.0104,0.0201,0.0403,0.0323,0.0,0.0177,0.0223,0.0332,0.0092,0.0302,0.0051,0.002,0.0426,0.073,0.0,0.0,0.017,0.0162,0.0071,0.0,0.0378,0.0045,0.0038,0.0024,0.0434,0.0,0.0,0.015,0.0,1.0,0.0006,0.0,0.0282,0.0,0.0,0.0135,0.0,0.0,0.0188,0.0124,0.0,0.0452,0.003,0.0611,0.0239,0.0292,0.0,0.0528,0.0452,0.0,0.0,0.0235,0.0,0.0,0.0281,0.0173,0.0,0.0,0.0,0.0018,0.0103,0.0098,0.024,0.0,0.0061,0.0,0.0233,0.0038,0.0,0.0174,0.0288,0.0003,0.0664,0.0,0.0534,0.0068,0.0,0.0,0.0,0.0,0.0353,0.0005,0.0181,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0245,0.0024,0.0052,0.0,0.0,0.0,0.0,0.0,0.001,0.0
4885,0.0035,0.2569,0.0,0.0726,0.0,0.0,0.0,0.0092,0.0,0.0,0.0,0.0786,0.0,0.0614,0.0087,0.1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0471,0.0,0.0,0.0488,0.0,0.0224,0.0,0.0018,0.0089,0.0162,0.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0302,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0006,1.0,0.0424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.09,0.0063,0.0,0.0021,0.0,0.0,0.1983,0.0,0.0,0.0,0.0,0.0105,0.0,0.0909,0.1122,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0349,0.0,0.0,0.0,0.065,0.1465,0.0192,0.0,0.1326,0.0,0.0046,0.1231,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0,0.1091,0.0186,0.0367,0.0,0.1261,0.0,0.0792,0.1858,0.0,0.0644,0.0,0.0,0.0,0.0173,0.1093,0.0,0.0,0.0157
4973,0.0,0.0733,0.0,0.032,0.0,0.0049,0.0,0.0,0.0121,0.0,0.0,0.0611,0.0,0.0634,0.0,0.0502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,0.0,0.0,0.0044,0.0095,0.0,0.0074,0.0295,0.0,0.0,0.0144,0.0,0.0,0.0,0.0,0.0053,0.0004,0.0,0.0,0.009000000000000001,0.0,0.0,0.0464,0.0,0.0042,0.0,0.0,0.0424,1.0,0.0088,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0221,0.0,0.0049,0.0,0.0,0.0,0.2491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0384,0.0265,0.0,0.0,0.0,0.0236,0.05,0.0353,0.0078,0.0451,0.0,0.0,0.0576,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0722,0.0215,0.0,0.0095,0.053,0.0,0.0909,0.0,0.0034,0.0,0.0652,0.0,0.0,0.0,0.0562,0.0,0.0156,0.0
11506,0.0204,0.0,0.0396,0.0156,0.0,0.0119,0.0407,0.0083,0.0859,0.0911,0.0,0.042,0.0694,0.0663,0.0032,0.0884,0.0089,0.0,0.0095,0.0181,0.0,0.0738,0.0052,0.0131,0.0242,0.0,0.1193,0.0,0.0,0.0091,0.0,0.0037,0.0,0.0604,0.0232,0.0056,0.0,0.0,0.0,0.0047,0.1113,0.0116,0.0,0.162,0.0,0.0825,0.0227,0.1543,0.0508,0.1354,0.1737,0.1497,0.0124,0.0477,0.0081,0.0343,0.0,0.0,0.2128,0.0611,0.0696,0.0383,0.0446,0.1104,0.0,0.0207,0.0,0.1228,0.0,0.0282,0.0,0.0088,1.0,0.1455,0.1225,0.0,0.0075,0.0,0.0162,0.0706,0.0315,0.0,0.0,0.0,0.0,0.0109,0.0097,0.0,0.0518,0.0,0.0,0.0421,0.078,0.0,0.019,0.0143,0.0,0.0,0.0167,0.0039,0.0142,0.0,0.0229,0.0,0.0,0.0372,0.0194,0.0209,0.037000000000000005,0.062,0.0388,0.0241,0.0206,0.0,0.0252,0.0,0.0045,0.0106,0.0,0.0384,0.0804,0.0,0.0144,0.0379,0.0661,0.1699,0.0025,0.0128,0.0053,0.0072,0.0104,0.0106,0.047,0.0215,0.0,0.1136,0.0271,0.0684,0.0172,0.001
7974,0.0,0.0,0.0,0.0,0.0,0.0,0.1163,0.0,0.0131,0.1737,0.0,0.0041,0.0351,0.0251,0.0,0.0394,0.0,0.0,0.0258,0.0435,0.0,0.0799,0.0,0.0048,0.0,0.0,0.1832,0.0,0.0,0.0126,0.0,0.0052,0.0,0.066,0.0135,0.0223,0.0269,0.0,0.0139,0.0377,0.18100000000000002,0.0,0.0068,0.1722,0.0164,0.1415,0.0086,0.2359,0.0676,0.2067,0.205,0.1534,0.0,0.0588,0.0,0.0141,0.0,0.0,0.2024,0.0954,0.0699,0.0285,0.0,0.1417,0.0,0.0364,0.0,0.0669,0.0,0.0,0.0,0.001,0.1455,1.0,0.1117,0.0,0.0031,0.0,0.043,0.0154,0.0359,0.0,0.0,0.0,0.0,0.0,0.0231,0.006,0.0159,0.0,0.0117,0.049,0.0292,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0246,0.0,0.0182,0.0,0.0,0.035,0.0,0.0,0.0163,0.0431,0.0,0.0,0.0,0.0263,0.0,0.0,0.0,0.002,0.0,0.0521,0.0782,0.0,0.0147,0.0216,0.0131,0.223,0.0094,0.0,0.0017,0.0107,0.0,0.0059,0.0053,0.0174,0.0,0.0873,0.017,0.0213,0.0121,0.0
1678,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0004,0.0,0.0586,0.0,0.0,0.0003,0.0182,0.0,0.0194,0.0128,0.0,0.0341,0.0162,0.0,0.0288,0.0,0.0054,0.0116,0.0,0.0761,0.0,0.0,0.0,0.0,0.0238,0.0,0.086,0.0113,0.0075,0.0,0.0,0.0,0.006,0.052000000000000005,0.0,0.0002,0.1054,0.0046,0.0466,0.0,0.0914,0.0503,0.11199999999999999,0.1028,0.0911,0.0476,0.039,0.0,0.0029,0.0,0.0,0.0999,0.031,0.0438,0.0317,0.04,0.0435,0.0,0.0,0.0,0.1181,0.0,0.0,0.0,0.0,0.1225,0.1117,1.0,0.0,0.0276,0.0,0.005,0.0275,0.0014,0.0,0.0,0.0039,0.0,0.0,0.0219,0.0,0.0238,0.0,0.0133,0.0042,0.0462,0.0,0.0252,0.0,0.0,0.013000000000000001,0.0158,0.0,0.0181,0.0,0.0087,0.0,0.0,0.0264,0.0,0.0019,0.0,0.028999999999999998,0.0,0.0158,0.0,0.0,0.012,0.0,0.0,0.0143,0.0,0.0093,0.0653,0.0,0.013000000000000001,0.0,0.0,0.0984,0.0,0.0,0.0217,0.0,0.0,0.0079,0.0,0.0,0.0,0.1569,0.012,0.0,0.0398,0.0
2111,0.0197,0.0,0.0122,0.0,0.0322,0.0743,0.0,0.0578,0.0,0.0,0.0,0.0,0.0,0.0446,0.0263,0.0,0.0661,0.0174,0.0612,0.0152,0.0587,0.0153,0.0839,0.0271,0.0323,0.0212,0.0,0.0,0.0278,0.0,0.0193,0.0,0.0886,0.0,0.0209,0.0267,0.0012,0.0991,0.0054,0.0933,0.0,0.0469,0.0284,0.0,0.0,0.0,0.0339,0.0,0.0195,0.0,0.0,0.0,0.0602,0.0139,0.0116,0.0028,0.0057,0.1423,0.0,0.0,0.0707,0.0177,0.0,0.0,0.0471,0.0,0.0,0.0224,0.0006,0.0135,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0879,0.0437,0.0,0.0,0.0,0.0319,0.0359,0.0455,0.0857,0.0,0.0124,0.0086,0.0361,0.0,0.0014,0.0,0.0032,0.0056,0.0,0.0628,0.0179,0.0208,0.045,0.01,0.0825,0.0,0.0268,0.0,0.0171,0.0159,0.0,0.0,0.0008,0.0153,0.0251,0.08800000000000001,0.0,0.0047,0.0427,0.0456,0.0085,0.1442,0.0504,0.0,0.066,0.0126,0.0,0.0,0.0,0.0,0.0214,0.0087,0.0116,0.0234,0.0,0.0,0.0182,0.0711,0.0,0.0,0.0,0.0176,0.0
11456,0.0,0.0,0.0203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0231,0.0,0.0,0.0,0.0,0.0,0.0324,0.0,0.0,0.0814,0.0,0.0,0.0,0.0091,0.0,0.0,0.0,0.0,0.0046,0.1275,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.006,0.0,0.0,0.0,0.0115,0.0,0.0043,0.0,0.0,0.0,0.0115,0.0,0.0,0.0,0.0411,0.0,0.0079,0.0181,0.0168,0.0,0.0,0.0011,0.0,0.0782,0.0,0.0,0.0,0.0,0.0075,0.0031,0.0276,0.0,1.0,0.0134,0.024,0.0396,0.0322,0.0,0.0,0.0,0.0,0.031,0.0,0.0207,0.039,0.0,0.0,0.0,0.0509,0.0,0.0,0.0508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0048,0.0019,0.0,0.0,0.0,0.0,0.0252,0.0391,0.0,0.0026,0.0,0.0,0.0109,0.0102,0.0,0.0,0.0619,0.0029,0.0032,0.0,0.0,0.0,0.0021,0.0052,0.0,0.0,0.0188,0.0,0.0386,0.0156,0.0,0.0,0.0
6078,0.0,0.0,0.0479,0.0,0.0,0.1038,0.0,0.0148,0.0,0.0079,0.0,0.0,0.0,0.0209,0.0714,0.0,0.1126,0.0147,0.0056,0.0,0.0155,0.0237,0.0,0.0596,0.028999999999999998,0.0,0.0,0.0075,0.0887,0.0056,0.0,0.0,0.0011,0.0016,0.0,0.0239,0.0,0.0206,0.0141,0.0,0.0041,0.0214,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,0.0596,0.0361,0.0184,0.037000000000000005,0.0262,0.0428,0.0098,0.0,0.0773,0.0,0.0109,0.0,0.0216,0.0,0.0,0.038,0.0674,0.0,0.0,0.0,0.0,0.0,0.0,0.0879,0.0134,1.0,0.0085,0.0,0.0,0.0,0.0616,0.0259,0.0,0.0339,0.0,0.0,0.0,0.0,0.0182,0.0,0.0,0.0,0.0175,0.0,0.0252,0.0,0.0433,0.0089,0.0007,0.0844,0.0,0.0464,0.0,0.055999999999999994,0.0,0.0,0.0,0.0,0.0141,0.0,0.0056,0.0,0.0,0.0321,0.0237,0.0,0.0687,0.0,0.0241,0.0301,0.0,0.0121,0.0,0.0,0.0,0.0,0.0213,0.0,0.0823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312,0.0
8358,0.0035,0.0,0.0,0.0,0.0,0.0,0.032,0.0573,0.0,0.0294,0.1215,0.0,0.0538,0.0507,0.0,0.0,0.0,0.0,0.0,0.0603,0.0,0.0755,0.0189,0.0,0.0177,0.0445,0.0109,0.0334,0.0,0.0551,0.0,0.0522,0.0071,0.0294,0.0248,0.0,0.1946,0.0,0.0418,0.0741,0.0163,0.0473,0.0,0.0148,0.0338,0.0593,0.1014,0.0083,0.1644,0.0294,0.0028,0.0134,0.0,0.0175,0.0972,0.0,0.0,0.0193,0.0314,0.0187,0.0711,0.0,0.0018,0.0139,0.0368,0.0,0.0392,0.0525,0.0269,0.0188,0.0,0.0,0.0162,0.043,0.005,0.0437,0.024,0.0085,1.0,0.0108,0.0,0.0208,0.0,0.0,0.1164,0.0405,0.0,0.0336,0.0304,0.0248,0.0189,0.0,0.0112,0.0,0.0008,0.1277,0.0,0.0283,0.0128,0.0,0.0074,0.0,0.0,0.0,0.0094,0.0725,0.0,0.0,0.0,0.0515,0.0,0.0,0.0539,0.0,0.0016,0.0635,0.0171,0.0,0.0016,0.0439,0.0254,0.0244,0.0,0.0422,0.0,0.0214,0.0,0.0252,0.0,0.0,0.0249,0.0,0.0,0.1084,0.0,0.0,0.0,0.0,0.0,0.0
5783,0.0,0.0,0.0426,0.0,0.0,0.0182,0.0382,0.0,0.0423,0.0164,0.017,0.0,0.0004,0.046,0.0,0.0897,0.0319,0.0,0.0,0.0018,0.0,0.0411,0.0,0.0263,0.0,0.0077,0.0183,0.0271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169,0.0021,0.0,0.0415,0.0195,0.0104,0.0026,0.026000000000000002,0.0,0.0362,0.0241,0.0323,0.0,0.0214,0.0,0.0,0.0292,0.0,0.0354,0.001,0.0046,0.0,0.0728,0.0338,0.0,0.0,0.0,0.0175,0.0,0.0124,0.008,0.0,0.0706,0.0154,0.0275,0.0,0.0396,0.0,0.0108,1.0,0.0,0.0,0.0,0.0,0.0,0.0215,0.0,0.0,0.0262,0.0,0.0,0.0107,0.0926,0.0,0.0,0.0015,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.0408,0.0,0.0,0.0009,0.0,0.0,0.0487,0.0,0.0,0.0,0.0,0.0841,0.0,0.0082,0.0,0.0,0.0263,0.10400000000000001,0.0,0.0,0.1085,0.0025,0.0356,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0181,0.0,0.0132,0.0,0.0,0.0442,0.0
5786,0.0,0.0607,0.0029,0.062,0.0064,0.0178,0.0,0.0,0.0,0.009000000000000001,0.0,0.2694,0.0,0.0195,0.0,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0243,0.0408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0736,0.0229,0.0,0.0,0.0339,0.0,0.0526,0.0783,0.0511,0.0025,0.0,0.0,0.0,0.0,0.0,0.0353,0.0,0.0,0.06,0.0,0.0461,0.0057,0.2828,0.0,0.0142,0.0082,0.0,0.09,0.0221,0.0315,0.0359,0.0014,0.0,0.0322,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0654,0.0069,0.0,0.0,0.0,0.0794,0.0,0.0453,0.3497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0,0.0,0.0828,0.3032,0.0356,0.0,0.13,0.0,0.0,0.2997,0.0,0.0,0.0,0.0,0.0,0.0,0.0253,0.0,0.1345,0.069,0.0731,0.0643,0.4209,0.0,0.1037,0.08199999999999999,0.0,0.1161,0.0574,0.0,0.0,0.0548,0.201,0.0,0.0037,0.0248
10016,0.0,0.0,0.0,0.0,0.005,0.0,0.0113,0.0278,0.0,0.0,0.03,0.0,0.0037,0.0,0.0949,0.0,0.0,0.0,0.0,0.017,0.0,0.0062,0.0497,0.0,0.0158,0.0231,0.0205,0.0476,0.0143,0.0369,0.0,0.0296,0.0042,0.0209,0.0167,0.0231,0.0505,0.0,0.0,0.0233,0.0028,0.015,0.0152,0.0,0.0,0.0158,0.0304,0.0082,0.0067,0.0,0.0,0.0,0.0073,0.0214,0.0192,0.0,0.0,0.0062,0.0,0.0008,0.0126,0.0,0.0,0.0,0.0285,0.0,0.0137,0.0,0.0062,0.0452,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,1.0,0.0,0.0273,0.0219,0.0138,0.0,0.0,0.0,0.011000000000000001,0.0109,0.0,0.0,0.0,0.0,0.0541,0.0,0.0292,0.0,0.0,0.0115,0.0,0.0,0.0276,0.0261,0.0266,0.0224,0.0,0.0044,0.0,0.0,0.0047,0.0887,0.0,0.0,0.0271,0.0221,0.0,0.0,0.0147,0.0351,0.0101,0.0196,0.0,0.0373,0.0,0.0,0.0167,0.0,0.0,0.0,0.0015,0.0,0.0,0.0026,0.0086,0.0,0.0078,0.0,0.0
7154,0.0,0.0,0.0557,0.0,0.0,0.0302,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0686,0.0,0.0,0.0123,0.0135,0.0,0.038,0.0234,0.0,0.0342,0.0094,0.0251,0.062,0.0,0.0,0.0103,0.0111,0.0003,0.0174,0.0,0.0,0.0107,0.0,0.0261,0.0,0.0,0.0,0.0,0.0079,0.011000000000000001,0.0296,0.0,0.0,0.0,0.0,0.0,0.0182,0.0043,0.0,0.018000000000000002,0.0409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613,0.003,0.0,0.0049,0.0,0.0,0.0,0.0319,0.0,0.0616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0113,0.0,0.0276,0.0,0.0,0.0,0.0,0.0024,0.0129,0.0,0.0,0.0,0.0036,0.0837,0.0,0.0,0.0288,0.0,0.0812,0.0142,0.0,0.0,0.0,0.0,0.0054,0.0224,0.0,0.0493,0.0,0.0392,0.0,0.0,0.0,0.0086,0.0045,0.0,0.0,0.0,0.001,0.0067,0.0021,0.0,0.0108,0.0,0.0,0.0689,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.013999999999999999,0.0
