,12141,12138,1722,12635,12850,3144,3413,13700,14225,3897,4199,17120,5046,5047,16245,6066,6335,8479,8551,1602,9465,1690,11228,10499,5597,6502,6435,8762,9850,2817,3170,4510,2403,2285,1078,7881,6104,8530,4321,6266,3532,8247,8455,7435,7257,3439,14824,11550,10519,8810,5439,1440,7985,8151,11465,4839,4058,3980,6375,2086,4093,1075,11220,1230,4383,7085,4640,8030,9225,9667,4885,4973,11506,7974,1678,2111,6078,8358,5783,5786,10016,7154,11060,10407,1913,7065,3121,5125,6304,6565,27914,10867,6742,2019,3735,6730,10453,10247,4423,5256,5518,6136,8823,3362,5878,1988,1449,7982,4605,9882,1447,6008,9778,8253,6649,7875,1161,2220,10530,2574,11376,2547,7923,13341,4029,9783,11399,1487,8898,4213,12726,13510,15267,15414,16478,11687,2184,4494,11811
1913,0.0066,0.0,0.0193,0.0,0.0,0.0,0.0,0.0081,0.0184,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0478,0.0,0.0025,0.0,0.0,0.0,0.0,0.0011,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0364,0.0,0.0347,0.0391,0.0,0.0997,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0009,0.0031,0.0114,0.0,0.0,0.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0209,0.0406,0.0121,0.0,0.0262,0.0,0.0,0.0239,1.0,0.0,0.0,0.0,0.0185,0.0213,0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.055999999999999994,0.0,0.0,0.0119,0.0,0.0,0.0,0.0683,0.003,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0175,0.0,0.0132,0.0,0.0244,0.0345,0.0,0.0299,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0042,0.0,0.0,0.0438,0.0,0.0096,0.0,0.0,0.0154,0.0
7065,0.06,0.0804,0.0,0.044000000000000004,0.0481,0.0,0.0185,0.0,0.017,0.0,0.0,0.0,0.034,0.0,0.0,0.0086,0.0,0.0073,0.0268,0.0273,0.0331,0.0,0.009000000000000001,0.0,0.0102,0.0,0.006999999999999999,0.0278,0.0052,0.0011,0.0467,0.0042,0.0,0.0,0.0,0.0004,0.0544,0.0148,0.0045,0.0,0.0,0.0207,0.0103,0.0,0.0,0.0368,0.0,0.0,0.0217,0.021,0.0206,0.0027,0.0016,0.0,0.0193,0.0,0.0149,0.0,0.0429,0.0017,0.0003,0.0012,0.0,0.0472,0.0,0.0,0.0435,0.0,0.0,0.0,0.0624,0.1668,0.0,0.0,0.0,0.0277,0.0475,0.0,0.0,0.0775,0.0,0.0,0.0325,0.0129,0.0,1.0,0.0,0.0,0.0,0.0066,0.0,0.0,0.0801,0.0599,0.034,0.0164,0.0113,0.0266,0.0724,0.0,0.0,0.1023,0.0,0.0,0.0052,0.0207,0.0747,0.0,0.0,0.0,0.0416,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.1445,0.0,0.0385,0.0,0.0003,0.0277,0.0026,0.0,0.0,0.0,0.0617,0.0131
3121,0.0,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
5125,0.0114,0.0,0.0,0.0,0.0127,0.002,0.0,0.0144,0.0531,0.0,0.0019,0.0159,0.0,0.0,0.0,0.0,0.0138,0.0,0.0559,0.0,0.0,0.0057,0.0274,0.0,0.013999999999999999,0.0104,0.0215,0.0088,0.0281,0.0125,0.0037,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0501,0.0,0.0125,0.0,0.0011,0.0,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0097,0.0,0.0098,0.0308,0.0,0.0,0.0,0.0,0.0,0.0275,0.0,0.0091,0.0,0.0549,0.0,0.0,0.0046,0.0064,0.0,0.0172,0.0,0.015,0.0204,0.0,0.0,0.0,0.027999999999999997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0316,0.0,0.0275,0.0,0.0062,0.0,0.0376,0.0,0.0,0.017,0.0,0.0,0.0,0.0064,0.0203,0.0,0.0,0.0,0.0034,0.0,0.0,0.095,0.0629,0.0509,0.0,0.0,0.0,0.003,0.0301,0.0,0.0,0.0213,0.0514,0.002,0.0,0.0005,0.0,0.0,0.0084,0.0,0.0,0.044000000000000004,0.0,0.0,0.0,0.0428,0.0,0.0
6304,0.0561,0.0,0.0,0.0405,0.0383,0.018000000000000002,0.0074,0.0187,0.0054,0.0,0.0022,0.0,0.0418,0.0,0.0,0.0,0.028999999999999998,0.006999999999999999,0.0477,0.0169,0.0226,0.0724,0.0,0.0831,0.0,0.0,0.0002,0.0,0.0,0.0,0.0235,0.0,0.0085,0.0231,0.0,0.0133,0.0,0.0137,0.0599,0.0,0.0889,0.0129,0.0067,0.0075,0.0115,0.0,0.013000000000000001,0.0,0.0,0.0036,0.0233,0.0049,0.0321,0.0034,0.0069,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0335,0.0,0.0335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0216,0.0268,0.0,0.0,0.0126,0.0,0.0035,0.0079,0.0185,0.0,0.0,0.0,1.0,0.2435,0.0,0.0,0.0139,0.0,0.0153,0.0,0.122,0.0,0.0005,0.0163,0.0284,0.0103,0.0144,0.0,0.0438,0.0062,0.0029,0.0,0.0,0.0229,0.0,0.1263,0.0425,0.0,0.0377,0.0,0.1266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,0.0194,0.1115,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.004,0.0572
6565,0.0437,0.0,0.0,0.0082,0.0067,0.0,0.0,0.0062,0.0216,0.0,0.0122,0.0,0.0513,0.0,0.0,0.0,0.0049,0.0,0.0365,0.0,0.0391,0.0254,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.0168,0.0,0.0161,0.0294,0.0078,0.0687,0.0063,0.1013,0.0045,0.0,0.0165,0.0011,0.0257,0.0,0.0,0.0131,0.0,0.0344,0.0,0.0163,0.0,0.0101,0.0,0.0,0.0,0.0437,0.0,0.0134,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0061,0.0352,0.0395,0.0,0.0098,0.0,0.0,0.0,0.0228,0.0213,0.0066,0.0,0.0,0.2435,1.0,0.0,0.0,0.0042,0.0,0.0085,0.0055,0.11599999999999999,0.0,0.0,0.0,0.0,0.0296,0.0079,0.0307,0.0275,0.0183,0.0064,0.0,0.0,0.0015,0.012,0.1021,0.0,0.0,0.0213,0.0,0.1067,0.006999999999999999,0.0,0.0,0.0263,0.0,0.0,0.0,0.0031,0.0164,0.0935,0.0,0.0016,0.0455,0.0175,0.0134,0.0322,0.0,0.0127,0.0,0.0,0.0,0.0077
27914,0.0,0.0,0.0,0.0281,0.0889,0.0,0.0613,0.0295,0.0,0.0,0.0,0.0099,0.0,0.0,0.0062,0.0,0.0121,0.0,0.0,0.0561,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0136,0.0,0.0251,0.0086,0.0708,0.0,0.0654,0.0,0.0,0.0412,0.0,0.0097,0.0147,0.0,0.0959,0.0,0.0504,0.012,0.0866,0.0027,0.0,0.0281,0.0,0.0209,0.0018,0.0019,0.0,0.0,0.0,0.0,0.0,0.0055,0.023,0.0,0.0,0.0,0.0058,0.0,0.0596,0.0,0.0,0.0,0.0,0.0,0.0197,0.0158,0.0033,0.0524,0.0,0.0,0.0,0.0452,0.0,0.0,0.0064,0.0274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0797,0.0,0.0169,0.0746,0.0,0.0,0.0085,0.0,0.0,0.0,0.0554,0.0,0.0048,0.0091,0.113,0.0259,0.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0294,0.0874,0.0263,0.0243,0.0,0.038,0.0003,0.0,0.102,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10867,0.0,0.0,0.0656,0.0,0.0,0.009000000000000001,0.0376,0.0,0.0,0.0411,0.0283,0.0,0.0567,0.0,0.0,0.0,0.2461,0.0099,0.0,0.0,0.0044,0.0,0.1181,0.0,0.0,0.0,0.0,0.0013,0.0447,0.0,0.0087,0.023,0.0,0.0201,0.0,0.0484,0.0252,0.0,0.0395,0.0,0.0028,0.0501,0.0311,0.0124,0.0,0.0516,0.0,0.0,0.0144,0.0624,0.0683,0.026000000000000002,0.0243,0.1195,0.0,0.038,0.0109,0.0,0.0,0.0,0.0872,0.0326,0.0,0.0341,0.0268,0.0,0.0347,0.0555,0.0176,0.0027,0.0,0.0,0.0846,0.0253,0.0485,0.0,0.0,0.0403,0.0813,0.0136,0.0251,0.0,0.0,0.0,0.0199,0.0,0.0,0.0316,0.0,0.0,0.0,1.0,0.0,0.0,0.0122,0.0,0.0167,0.0395,0.0,0.0,0.0052,0.0,0.011000000000000001,0.0,0.013999999999999999,0.0143,0.0,0.0008,0.0,0.0672,0.031,0.0,0.0118,0.0207,0.0,0.0044,0.0123,0.0,0.0,0.1968,0.0145,0.0,0.2772,0.0,0.0656,0.0468,0.0,0.0037,0.0,0.0191,0.0,0.0872,0.0178,0.0257,0.0594,0.0066,0.0,0.0687,0.0
6742,0.0127,0.1087,0.0,0.0598,0.0416,0.0,0.046,0.0003,0.0177,0.0,0.0,0.0023,0.0,0.0,0.0957,0.026000000000000002,0.0,0.0,0.013000000000000001,0.0286,0.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0147,0.0,0.0708,0.0,0.0355,0.0,0.0,0.0076,0.0,0.0627,0.0,0.0,0.0,0.0,0.0413,0.0,0.0,0.0106,0.16,0.0006,0.0,0.0691,0.0335,0.0502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.0,0.002,0.0137,0.0074,0.0,0.0888,0.0036,0.0,0.0,0.0362,0.0,0.0,0.0,0.0011,0.0416,0.0,0.0,0.0,0.1298,0.0,0.0,0.0003,0.0197,0.0,0.0801,0.0,0.0,0.0139,0.0042,0.0797,0.0,1.0,0.0051,0.0612,0.027000000000000003,0.0,0.0,0.0693,0.0,0.0,0.018000000000000002,0.0456,0.0,0.0,0.0,0.2097,0.1697,0.0066,0.0497,0.0926,0.0,0.0,0.0182,0.0,0.0,0.0184,0.0051,0.0,0.0,0.0136,0.0,0.0,0.0989,0.0186,0.1278,0.0021,0.2042,0.0,0.0321,0.2401,0.013000000000000001,0.0,0.0,0.0008,0.0809,0.0,0.0317,0.03
2019,0.0,0.0676,0.0069,0.0415,0.0026,0.0186,0.0,0.0,0.0,0.0,0.0,0.0946,0.0,0.0,0.1363,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151,0.0,0.0,0.0,0.0,0.1188,0.0014,0.0,0.0,0.0664,0.0262,0.0,0.0,0.0,0.0493,0.0,0.0,0.0,0.0757,0.0,0.0,0.0,0.0,0.0,0.0599,0.0043,0.0275,0.0,0.0,0.0,0.0,0.0051,1.0,0.0,0.0,0.0,0.0037,0.0013,0.0258,0.0,0.0,0.0077,0.0,0.0,0.0,0.0305,0.1221,0.0091,0.0,0.0,0.0,0.0156,0.0736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0,0.1007,0.0,0.0568,0.0628,0.0,0.0,0.0,0.0,0.0,0.0,0.0736,0.0,0.0064,0.0
3735,0.0,0.034,0.0,0.005,0.0039,0.0032,0.0667,0.039,0.0,0.0,0.0001,0.0404,0.0025,0.0084,0.0,0.0154,0.0131,0.012,0.0,0.0675,0.0,0.0141,0.0221,0.0153,0.0,0.0,0.0,0.0211,0.0234,0.0,0.1892,0.0098,0.066,0.0321,0.03,0.0344,0.0425,0.0846,0.0469,0.0,0.0183,0.0327,0.0608,0.0374,0.038,0.0256,0.046,0.0286,0.0264,0.0696,0.0893,0.0749,0.0177,0.0109,0.0131,0.0087,0.0889,0.0,0.0017,0.0,0.048,0.0109,0.0,0.0,0.0,0.0,0.0144,0.0285,0.0,0.0,0.0,0.0234,0.0223,0.0,0.0346,0.2252,0.0144,0.0135,0.0,0.0323,0.0157,0.0,0.0028,0.0655,0.0,0.034,0.0,0.0,0.0153,0.0085,0.0169,0.0122,0.0612,0.0,1.0,0.0704,0.0,0.0049,0.0359,0.0,0.031,0.0146,0.0408,0.0,0.0183,0.039,0.0957,0.0672,0.0041,0.012,0.08800000000000001,0.0,0.0,0.0163,0.0198,0.0,0.0462,0.0749,0.0605,0.0,0.0093,0.0,0.0,0.0448,0.0363,0.0639,0.0013,0.0678,0.0312,0.0731,0.0926,0.048,0.0399,0.0252,0.0157,0.035,0.0,0.0432,0.0058
6730,0.0259,0.004,0.0211,0.0,0.0485,0.0051,0.0,0.035,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242,0.0241,0.2131,0.0,0.0085,0.0,0.0087,0.0071,0.0,0.0,0.0,0.0,0.0,0.0736,0.0321,0.2584,0.0,0.0998,0.0,0.0186,0.1911,0.0,0.1312,0.0274,0.0054,0.0,0.032,0.20800000000000002,0.0,0.0,0.0,0.0,0.0014,0.0239,0.0082,0.0,0.0,0.0,0.0,0.0,0.0055,0.0265,0.0101,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0037,0.0051,0.0769,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0702,0.0,0.0164,0.0,0.0062,0.0,0.0055,0.0746,0.0,0.027000000000000003,0.0,0.0704,1.0,0.0,0.0029,0.0061,0.0,0.0276,0.0173,0.0,0.0038,0.0,0.0019,0.0447,0.0091,0.0,0.0195,0.0708,0.0,0.0,0.0,0.0,0.0,0.0,0.0544,0.0339,0.0,0.0048,0.0,0.0,0.0075,0.0,0.0054,0.0,0.0152,0.0,0.0519,0.0408,0.0067,0.0235,0.0464,0.0027,0.0,0.0,0.0156,0.0
10453,0.0782,0.0,0.0,0.0174,0.0184,0.0,0.0,0.0,0.0,0.0,0.0357,0.0,0.0717,0.0211,0.0,0.0,0.0372,0.0,0.0223,0.0111,0.0168,0.0,0.0,0.1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216,0.0024,0.0,0.0076,0.0,0.0,0.0,0.0621,0.023,0.0,0.0514,0.0,0.0,0.0,0.0,0.0297,0.015,0.0,0.0,0.0411,0.0,0.0,0.0184,0.0143,0.0,0.0,0.0,0.0,0.0273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0737,0.0074,0.0,0.038,0.0,0.0,0.0269,0.0,0.0113,0.0,0.0,0.122,0.11599999999999999,0.0,0.0167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0042,0.0073,0.0102,0.0,0.055,0.0218,0.0,0.0,0.0,0.027000000000000003,0.0,0.1076,0.0292,0.0,0.0334,0.0,0.1326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0118,0.0048,0.016
10247,0.0,0.0,0.0324,0.0,0.0,0.0476,0.0219,0.0026,0.0268,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0167,0.0643,0.0241,0.0033,0.0,0.0,0.0181,0.0,0.0414,0.0638,0.0156,0.0143,0.001,0.0042,0.0,0.0,0.0195,0.019,0.0,0.0207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0056,0.0,0.0,0.0,0.013999999999999999,0.0265,0.0191,0.0,0.0205,0.0,0.0579,0.0118,0.0008,0.021,0.0,0.0135,0.0,0.0,0.0,0.0,0.0203,0.0,0.0004,0.0,0.0,0.0,0.005,0.0054,0.0,0.0,0.002,0.0405,0.025,0.0184,0.0,0.0,0.0254,0.0303,0.0116,0.055999999999999994,0.0266,0.0,0.0376,0.0,0.0,0.0,0.0395,0.0,0.0037,0.0049,0.0029,0.0,1.0,0.0174,0.0252,0.0,0.0,0.0,0.0564,0.0,0.0,0.0,0.0018,0.0,0.0262,0.0121,0.0,0.0432,0.0712,0.0014,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0012,0.0201,0.0,0.0,0.0,0.0064,0.1044,0.0,0.0135,0.0052,0.0039,0.0031,0.0,0.0084,0.0,0.0
4423,0.0219,0.0417,0.0,0.0749,0.0184,0.021,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0763,0.0,0.0,0.0019,0.0182,0.0446,0.0,0.0,0.0,0.0016,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0474,0.0,0.0,0.0,0.0,0.0269,0.0147,0.0452,0.0,0.0,0.0,0.0,0.0071,0.0031,0.0222,0.0,0.0634,0.0,0.0,0.0195,0.0133,0.0,0.0015,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.0775,0.0,0.0,0.0,0.0,0.0289,0.0,0.0,0.0164,0.0648,0.0393,0.0,0.0,0.0916,0.0,0.0,0.0,0.0164,0.0,0.0724,0.0,0.0,0.0005,0.0,0.0085,0.0,0.0693,0.0013,0.0359,0.0061,0.0,0.0174,1.0,0.0,0.0121,0.0669,0.0326,0.0,0.0,0.0,0.0322,0.0955,0.0,0.0224,0.1285,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.0,0.076,0.0263,0.0814,0.08,0.0183,0.0461,0.0196,0.0,0.0,0.0023,0.0614,0.0,0.0107,0.0648
5256,0.0267,0.0,0.0102,0.0007,0.0,0.0123,0.0,0.0,0.044000000000000004,0.0,0.0,0.0027,0.0,0.0,0.0003,0.0,0.0,0.0001,0.0195,0.0069,0.0233,0.0224,0.0,0.0,0.005,0.0318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285,0.0,0.0066,0.0,0.0251,0.0219,0.0,0.0083,0.0,0.0,0.027999999999999997,0.0,0.003,0.0,0.0,0.0,0.0,0.0138,0.0,0.0,0.0153,0.0,0.0239,0.0,0.0,0.0,0.0,0.0,0.0206,0.0,0.0,0.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0,0.0163,0.0,0.0,0.0,0.0,0.0258,0.0,0.0,0.0,0.0252,0.0,1.0,0.0,0.0006,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0214,0.0,0.0523,0.0,0.0,0.0,0.0,0.0177,0.0,0.0,0.0015,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0514,0.0,0.0
5518,0.0554,0.0341,0.013999999999999999,0.0192,0.0,0.0226,0.0,0.002,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0197,0.0627,0.0141,0.0297,0.0735,0.0,0.0196,0.0157,0.0041,0.0262,0.040999999999999995,0.0,0.0,0.0327,0.0097,0.0042,0.0119,0.0043,0.0,0.0069,0.015,0.01,0.0152,0.015,0.0379,0.0125,0.0075,0.0162,0.0,0.0,0.0,0.01,0.0,0.0196,0.0,0.0,0.0,0.0063,0.0,0.0063,0.1063,0.0202,0.0259,0.0,0.0,0.0063,0.0132,0.012,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335,0.0186,0.0,0.0,0.0,0.0021,0.0376,0.0418,0.0013,0.0119,0.0,0.0,0.017,0.0284,0.0,0.0,0.0052,0.0,0.0,0.031,0.0276,0.0042,0.0,0.0121,0.0,1.0,0.0546,0.0,0.0008,0.0009,0.0222,0.0,0.0,0.0,0.011000000000000001,0.0284,0.0,0.0649,0.0,0.0036,0.032,0.037000000000000005,0.0,0.0,0.0,0.0129,0.0,0.0,0.0,0.004,0.0,0.0422,0.0063,0.0,0.0175,0.0,0.0,0.0062,0.0,0.0097,0.0,0.012,0.0191,0.0141
6136,0.0933,0.0338,0.0,0.0095,0.0386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.0,0.0,0.006,0.0377,0.0628,0.0157,0.0382,0.0,0.0222,0.0379,0.024,0.0,0.0009,0.0215,0.0,0.0,0.02,0.0,0.0,0.0096,0.0,0.0,0.0378,0.0364,0.0,0.0052,0.0154,0.0063,0.0057,0.0,0.0305,0.0239,0.0499,0.0,0.0312,0.0,0.0308,0.0,0.0,0.0,0.0623,0.0,0.0096,0.0118,0.0173,0.0196,0.0,0.0,0.0,0.0522,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0111,0.0131,0.1018,0.0,0.0,0.0039,0.0,0.0031,0.043,0.0105,0.0,0.1023,0.0,0.0,0.0103,0.0296,0.0,0.0,0.018000000000000002,0.0,0.0146,0.0173,0.0073,0.0,0.0669,0.0006,0.0546,1.0,0.0,0.0423,0.0295,0.0305,0.0372,0.0,0.0,0.0,0.0531,0.0104,0.0,0.0,0.0,0.0163,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348,0.0471,0.0181,0.0203,0.0435,0.0491,0.0,0.0157,0.0,0.0058,0.0,0.0011,0.0506,0.0367
8823,0.0131,0.0,0.0,0.0,0.0191,0.0,0.0507,0.0,0.0404,0.0,0.01,0.0642,0.0009,0.0,0.0446,0.0,0.0082,0.0,0.0079,0.0,0.0,0.0,0.0472,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,0.0904,0.0,0.0177,0.0,0.0,0.0,0.0,0.0151,0.0,0.0,0.0,0.0,0.0397,0.0175,0.0,0.0129,0.0819,0.0693,0.0199,0.1002,0.0286,0.0601,0.0126,0.0437,0.0,0.0,0.0,0.0028,0.0,0.0,0.0386,0.0,0.0,0.0,0.0222,0.0,0.0982,0.0276,0.0,0.0,0.0,0.0051,0.0253,0.0699,0.0214,0.0473,0.0,0.0,0.0,0.0654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144,0.0079,0.0554,0.011000000000000001,0.0456,0.0077,0.0408,0.0,0.0102,0.0,0.0326,0.0,0.0,0.0,1.0,0.0,0.0196,0.0693,0.0388,0.028999999999999998,0.0,0.0214,0.0239,0.0,0.0,0.0068,0.0,0.0,0.0074,0.0,0.0,0.0,0.0,0.0,0.01,0.0776,0.0474,0.0539,0.0,0.0031,0.0282,0.0,0.0263,0.0386,0.0,0.0,0.0,0.0724,0.0,0.0,0.0
3362,0.0139,0.0,0.0,0.0,0.0108,0.0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0171,0.0,0.0322,0.0277,0.0725,0.051,0.0,0.0436,0.0,0.0419,0.009000000000000001,0.0,0.1017,0.0,0.0807,0.0,0.0,0.0067,0.0,0.0,0.0047,0.0,0.0,0.0061,0.0,0.0,0.0,0.0344,0.0061,0.0,0.0,0.0,0.01,0.0,0.0231,0.0036,0.0,0.0216,0.0053,0.0,0.0137,0.0,0.0,0.0306,0.0,0.0,0.0007,0.0287,0.0005,0.0,0.0353,0.0,0.0033,0.0,0.0083,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0829,0.0,0.0,0.0,0.0074,0.052000000000000005,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.0307,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0564,0.0,0.0088,0.0008,0.0423,0.0,1.0,0.0135,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0141,0.0552,0.0069,0.0,0.0,0.0308,0.006,0.0,0.0,0.0,0.0,0.0253,0.011000000000000001,0.0,0.0205,0.0273,0.0,0.0287,0.0121,0.0,0.0261,0.0,0.0,0.0263,0.004
5878,0.0144,0.0,0.0,0.0022,0.0015,0.0,0.0,0.01,0.0231,0.0,0.0346,0.0,0.0419,0.0,0.0,0.0,0.0,0.0,0.0092,0.0,0.0284,0.0,0.0058,0.0475,0.0,0.0098,0.0,0.0189,0.0,0.0,0.0034,0.013000000000000001,0.0,0.0204,0.0065,0.008,0.0072,0.0,0.0498,0.0,0.027000000000000003,0.0679,0.0,0.0615,0.0,0.0207,0.0,0.0,0.0259,0.0072,0.0228,0.0,0.0036,0.0416,0.065,0.0,0.0743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0477,0.0,0.0578,0.0,0.0189,0.0157,0.0264,0.0,0.0,0.0,0.0,0.0506,0.0952,0.0,0.0,0.0915,0.0,0.0252,0.0008,0.0683,0.0052,0.0,0.0064,0.0438,0.0275,0.0048,0.013999999999999999,0.0,0.0,0.0183,0.0,0.055,0.0,0.0,0.0,0.0009,0.0295,0.0196,0.0135,1.0,0.0144,0.0,0.0,0.0,0.0097,0.0,0.0111,0.033,0.0,0.0436,0.0829,0.006999999999999999,0.0378,0.0,0.0,0.0354,0.0,0.0,0.0,0.0,0.0,0.057999999999999996,0.0,0.0,0.0127,0.0,0.0,0.0355,0.0234,0.0,0.0,0.0131,0.0235,0.0174
